id,uid,time,data,meter
0,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 22:23:11,0,15520.0
1,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 21:23:11,0,15520.0
2,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 20:23:11,0,15520.0
3,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 19:23:11,0,15520.0
4,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 18:23:14,0,15520.0
5,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 17:23:14,0,15520.0
6,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 16:23:14,0,15520.0
7,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 15:23:14,0,15520.0
8,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 14:23:12,0,15520.0
9,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 13:23:12,0,15520.0
10,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 12:23:12,0,15520.0
11,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 11:23:12,0,15520.0
12,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 10:23:14,0,15520.0
13,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 09:23:14,0,15520.0
14,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 08:23:14,0,15520.0
15,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 07:23:14,0,15520.0
16,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 06:23:24,0,15520.0
17,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 05:23:24,0,15520.0
18,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 04:23:24,0,15520.0
19,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 03:23:24,0,15520.0
20,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 02:23:14,0,15520.0
21,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 01:23:14,0,15520.0
22,e363b1f3-f503-48b4-b87c-98fe07632c02,19/05/2017 00:23:14,0,15520.0
23,e363b1f3-f503-48b4-b87c-98fe07632c02,18/05/2017 23:23:14,0,15520.0
24,e363b1f3-f503-48b4-b87c-98fe07632c02,18/05/2017 22:23:12,0,15520.0
