id,uid,time,data,temp,volume,energy
0,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,24/12/2016 16:54:17,6.8,33,34.7,927.1261599999999
1,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,24/12/2016 16:52:45,7.9,32,37.3,953.2637
2,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,24/12/2016 16:52:56,7.0,32,40.1,1024.8224
3,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,24/12/2016 16:53:14,7.4,34,54.5,1519.46
4,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,26/08/2016 00:21:03,7.25,32,15.5,383.0
5,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,26/07/2016 19:33:38,4.0655737,33,24.8,649.0
6,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,14/07/2016 23:01:54,7.9384613,31,20.2,482.0
7,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,14/07/2016 23:00:06,8.3,33,32.3,863.00214
8,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,14/07/2016 23:00:19,7.5,32,23.6,603.1373
9,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,8/7/2016 1:07,5.0,32,26.5,697.0
10,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,14/07/2016 23:00:56,7.7,33,37.0,988.5783
11,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,14/07/2016 23:01:22,7.6,32,10.7,273.45633
12,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,30/06/2016 13:45:41,2.8970976000000004,33,18.3,476.0
13,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,29/06/2016 21:10:16,6.3065695999999996,34,23.2,606.0
14,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,8/7/2016 1:07,6.1,32,25.5,651.695
15,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,29/06/2016 21:08:26,7.1,31,7.1,173.2045
16,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,29/06/2016 21:09:06,6.4,34,26.3,733.2439999999999
17,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,29/06/2016 21:09:46,8.0,33,7.1,189.70016
18,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,24/12/2016 16:51:38,7.9,32,29.1,743.699
19,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,24/12/2016 16:51:38,7.5,35,50.1,1454.9875
20,a8cb92fb-75e7-4c9c-8de7-6e3c71b835cc,24/12/2016 16:51:38,7.7,34,9.6,267.64799999999997
