,id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
0,1290587,55891,2021-10-10 11:00:02,2,0,2586,155,0,0,0,0
1,1290631,55891,2021-10-10 11:01:02,0,0,0,0,0,0,0,0
2,1290675,55891,2021-10-10 11:02:02,0,0,0,0,0,0,0,0
3,1290719,55891,2021-10-10 11:03:02,0,0,0,0,0,0,0,0
4,1290763,55891,2021-10-10 11:04:02,0,0,0,0,0,0,0,0
5,1290807,55891,2021-10-10 11:05:02,0,0,0,0,0,0,0,0
6,1290851,55891,2021-10-10 11:06:02,0,0,0,0,0,0,0,0
7,1290895,55891,2021-10-10 11:07:02,0,0,0,0,0,0,0,0
8,1290939,55891,2021-10-10 11:08:02,0,0,0,0,0,0,0,0
9,1290983,55891,2021-10-10 11:09:02,0,0,0,0,0,0,0,0
10,1291027,55891,2021-10-10 11:10:02,0,0,0,0,0,0,0,0
11,1291071,55891,2021-10-10 11:11:02,0,0,0,0,0,0,0,0
12,1291115,55891,2021-10-10 11:12:02,0,0,0,0,0,0,0,0
13,1291159,55891,2021-10-10 11:13:02,0,0,0,0,0,0,0,0
14,1291203,55891,2021-10-10 11:14:02,0,0,0,0,0,0,0,0
15,1291247,55891,2021-10-10 11:15:02,0,0,0,0,0,0,0,0
16,1291291,55891,2021-10-10 11:16:02,0,0,0,0,0,0,0,0
17,1291335,55891,2021-10-10 11:17:02,0,0,0,0,0,0,0,0
18,1291379,55891,2021-10-10 11:18:02,0,0,0,0,0,0,0,0
19,1291423,55891,2021-10-10 11:19:02,0,0,0,0,0,0,0,0
20,1291467,55891,2021-10-10 11:20:02,0,0,0,0,0,0,0,0
21,1291511,55891,2021-10-10 11:21:02,0,0,0,0,0,0,0,0
22,1291555,55891,2021-10-10 11:22:02,0,0,0,0,0,0,0,0
23,1291599,55891,2021-10-10 11:23:02,0,0,0,0,0,0,0,0
24,1291643,55891,2021-10-10 11:24:02,0,0,0,0,0,0,0,0
25,1291687,55891,2021-10-10 11:25:02,0,0,0,0,0,0,0,0
26,1291731,55891,2021-10-10 11:26:02,0,0,1671,100,0,0,0,0
27,1291775,55891,2021-10-10 11:27:02,0,0,55,3,0,0,0,0
28,1291819,55891,2021-10-10 11:28:02,0,0,2,0,73,4,0,0
29,1291863,55891,2021-10-10 11:29:02,0,0,97,5,4711,282,0,0
30,1291907,55891,2021-10-10 11:30:02,0,0,0,0,4642,278,0,0
31,1291951,55891,2021-10-10 11:31:02,0,0,0,0,651,39,0,0
32,1291995,55891,2021-10-10 11:32:02,0,0,0,0,0,0,0,0
33,1292039,55891,2021-10-10 11:33:02,0,0,0,0,0,0,0,0
34,1292083,55891,2021-10-10 11:34:02,0,0,0,0,0,0,0,0
35,1292127,55891,2021-10-10 11:35:02,0,0,0,0,0,0,0,0
36,1292171,55891,2021-10-10 11:36:02,0,0,0,0,0,0,0,0
37,1292215,55891,2021-10-10 11:37:02,0,0,0,0,0,0,0,0
38,1292259,55891,2021-10-10 11:38:02,0,0,0,0,0,0,0,0
39,1292303,55891,2021-10-10 11:39:02,0,0,0,0,0,0,0,0
40,1292347,55891,2021-10-10 11:40:02,0,0,0,0,0,0,0,0
41,1292391,55891,2021-10-10 11:41:02,0,0,0,0,0,0,0,0
42,1292435,55891,2021-10-10 11:42:02,0,0,0,0,0,0,0,0
43,1292479,55891,2021-10-10 11:43:02,0,0,0,0,0,0,0,0
44,1292523,55891,2021-10-10 11:44:02,0,0,0,0,0,0,0,0
45,1292567,55891,2021-10-10 11:45:02,0,0,0,0,0,0,0,0
46,1292611,55891,2021-10-10 11:46:02,0,0,0,0,0,0,0,0
47,1292655,55891,2021-10-10 11:47:02,0,0,0,0,0,0,0,0
48,1292699,55891,2021-10-10 11:48:02,0,0,0,0,0,0,0,0
49,1292743,55891,2021-10-10 11:49:02,0,0,0,0,0,0,0,0
50,1292787,55891,2021-10-10 11:50:02,0,0,0,0,0,0,0,0
51,1292831,55891,2021-10-10 11:51:02,0,0,0,0,0,0,0,0
52,1292875,55891,2021-10-10 11:52:02,0,0,0,0,0,0,0,0
53,1292919,55891,2021-10-10 11:53:02,0,0,0,0,0,0,0,0
54,1292963,55891,2021-10-10 11:54:02,0,0,300,17,1560,93,0,0
55,1293007,55891,2021-10-10 11:55:02,0,0,0,0,4631,277,0,0
56,1293051,55891,2021-10-10 11:56:02,0,0,0,0,4066,243,0,0
57,1293087,55891,2021-10-10 11:57:02,0,0,0,0,0,0,0,0
58,1293131,55891,2021-10-10 11:58:02,0,0,0,0,0,0,0,0
59,1293175,55891,2021-10-10 11:59:02,0,0,0,0,0,0,0,0
60,1293219,55891,2021-10-10 12:00:02,0,0,0,0,0,0,0,0
61,1293263,55891,2021-10-10 12:01:02,0,0,0,0,0,0,0,0
62,1293307,55891,2021-10-10 12:02:02,0,0,0,0,0,0,0,0
63,1293351,55891,2021-10-10 12:03:03,0,0,0,0,0,0,0,0
64,1293395,55891,2021-10-10 12:04:02,0,0,0,0,0,0,0,0
65,1293439,55891,2021-10-10 12:05:03,0,0,0,0,0,0,0,0
66,1293483,55891,2021-10-10 12:06:02,0,0,0,0,0,0,0,0
67,1293527,55891,2021-10-10 12:07:02,0,0,0,0,0,0,0,0
68,1293571,55891,2021-10-10 12:08:02,0,0,0,0,0,0,0,0
69,1293615,55891,2021-10-10 12:09:02,0,0,0,0,0,0,0,0
70,1293659,55891,2021-10-10 12:10:03,0,0,0,0,0,0,0,0
71,1293703,55891,2021-10-10 12:11:02,0,0,0,0,0,0,0,0
72,1293747,55891,2021-10-10 12:12:02,0,0,0,0,0,0,0,0
73,1293791,55891,2021-10-10 12:13:02,0,0,0,0,0,0,0,0
74,1293835,55891,2021-10-10 12:14:02,0,0,0,0,0,0,0,0
75,1293879,55891,2021-10-10 12:15:02,0,0,0,0,0,0,0,0
76,1293923,55891,2021-10-10 12:16:02,0,0,0,0,0,0,0,0
77,1293967,55891,2021-10-10 12:17:02,0,0,0,0,0,0,0,0
78,1294011,55891,2021-10-10 12:18:02,0,0,0,0,0,0,0,0
79,1294055,55891,2021-10-10 12:19:02,0,0,0,0,0,0,0,0
80,1294099,55891,2021-10-10 12:20:02,0,0,0,0,0,0,0,0
81,1294143,55891,2021-10-10 12:21:02,0,0,0,0,0,0,0,0
82,1294187,55891,2021-10-10 12:22:02,0,0,0,0,0,0,0,0
83,1294231,55891,2021-10-10 12:23:02,0,0,0,0,0,0,0,0
84,1294275,55891,2021-10-10 12:24:02,0,0,0,0,0,0,0,0
85,1294319,55891,2021-10-10 12:25:02,0,0,0,0,0,0,0,0
86,1294363,55891,2021-10-10 12:26:02,0,0,0,0,0,0,0,0
87,1294407,55891,2021-10-10 12:27:02,0,0,0,0,0,0,0,0
88,1294451,55891,2021-10-10 12:28:02,0,0,0,0,0,0,0,0
89,1294495,55891,2021-10-10 12:29:02,0,0,0,0,0,0,0,0
90,1294539,55891,2021-10-10 12:30:02,0,0,0,0,0,0,0,0
91,1294583,55891,2021-10-10 12:31:02,0,0,0,0,0,0,0,0
92,1294627,55891,2021-10-10 12:32:02,0,0,0,0,0,0,0,0
93,1294671,55891,2021-10-10 12:33:02,0,0,0,0,0,0,0,0
94,1294715,55891,2021-10-10 12:34:02,0,0,0,0,0,0,0,0
95,1294759,55891,2021-10-10 12:35:02,0,0,0,0,0,0,0,0
96,1294803,55891,2021-10-10 12:36:02,0,0,0,0,0,0,0,0
97,1294847,55891,2021-10-10 12:37:02,0,0,0,0,0,0,0,0
98,1294891,55891,2021-10-10 12:38:02,0,0,0,0,0,0,0,0
99,1294935,55891,2021-10-10 12:39:02,0,0,0,0,0,0,0,0
100,1294979,55891,2021-10-10 12:40:02,0,0,0,0,0,0,0,0
101,1295023,55891,2021-10-10 12:41:02,0,0,0,0,0,0,0,0
102,1295067,55891,2021-10-10 12:42:02,0,0,0,0,0,0,0,0
103,1295111,55891,2021-10-10 12:43:02,0,0,0,0,0,0,0,0
104,1295155,55891,2021-10-10 12:44:02,0,0,0,0,0,0,0,0
105,1295199,55891,2021-10-10 12:45:02,0,0,0,0,0,0,0,0
106,1295243,55891,2021-10-10 12:46:02,0,0,55,3,0,0,0,0
107,1295287,55891,2021-10-10 12:47:02,0,0,531,31,0,0,0,0
108,1295331,55891,2021-10-10 12:48:02,0,0,0,0,0,0,0,0
109,1295375,55891,2021-10-10 12:49:02,0,0,0,0,0,0,0,0
110,1295419,55891,2021-10-10 12:50:02,0,0,0,0,0,0,0,0
111,1295463,55891,2021-10-10 12:51:02,0,0,0,0,0,0,0,0
112,1295507,55891,2021-10-10 12:52:02,0,0,0,0,0,0,0,0
113,1295551,55891,2021-10-10 12:53:02,0,0,0,0,0,0,0,0
114,1295595,55891,2021-10-10 12:54:02,0,0,0,0,0,0,0,0
115,1295639,55891,2021-10-10 12:55:02,0,0,0,0,0,0,0,0
116,1295683,55891,2021-10-10 12:56:02,0,0,0,0,0,0,0,0
117,1295727,55891,2021-10-10 12:57:02,0,0,0,0,0,0,0,0
118,1295771,55891,2021-10-10 12:58:02,0,0,0,0,0,0,0,0
119,1295815,55891,2021-10-10 12:59:02,0,0,0,0,0,0,0,0
120,1295859,55891,2021-10-10 13:00:02,0,0,0,0,0,0,0,0
121,1295903,55891,2021-10-10 13:01:04,0,0,0,0,0,0,0,0
122,1295947,55891,2021-10-10 13:02:02,0,0,0,0,0,0,0,0
123,1295991,55891,2021-10-10 13:03:02,0,0,0,0,0,0,0,0
124,1296035,55891,2021-10-10 13:04:02,0,0,0,0,0,0,0,0
125,1296079,55891,2021-10-10 13:05:02,0,0,0,0,0,0,0,0
126,1296123,55891,2021-10-10 13:06:02,0,0,0,0,0,0,0,0
127,1296167,55891,2021-10-10 13:07:02,0,0,0,0,0,0,0,0
128,1296211,55891,2021-10-10 13:08:02,0,0,0,0,0,0,0,0
129,1296255,55891,2021-10-10 13:09:02,0,0,0,0,0,0,0,0
130,1296299,55891,2021-10-10 13:10:02,0,0,0,0,0,0,0,0
131,1296343,55891,2021-10-10 13:11:02,0,0,0,0,0,0,0,0
132,1296387,55891,2021-10-10 13:12:02,0,0,0,0,0,0,0,0
133,1296431,55891,2021-10-10 13:13:02,0,0,0,0,0,0,0,0
134,1296475,55891,2021-10-10 13:14:02,0,0,0,0,0,0,0,0
135,1296519,55891,2021-10-10 13:15:02,0,0,0,0,0,0,0,0
136,1296563,55891,2021-10-10 13:16:02,0,0,0,0,0,0,0,0
137,1296607,55891,2021-10-10 13:17:02,0,0,0,0,0,0,0,0
138,1296651,55891,2021-10-10 13:18:02,0,0,0,0,0,0,0,0
139,1296695,55891,2021-10-10 13:19:02,0,0,0,0,0,0,0,0
140,1296739,55891,2021-10-10 13:20:02,0,0,0,0,0,0,0,0
141,1296783,55891,2021-10-10 13:21:02,0,0,0,0,0,0,0,0
142,1296827,55891,2021-10-10 13:22:02,0,0,0,0,0,0,0,0
143,1296871,55891,2021-10-10 13:23:02,0,0,0,0,0,0,0,0
144,1296915,55891,2021-10-10 13:24:02,0,0,0,0,0,0,0,0
145,1296959,55891,2021-10-10 13:25:02,0,0,0,0,0,0,0,0
146,1297003,55891,2021-10-10 13:26:02,0,0,0,0,0,0,0,0
147,1297047,55891,2021-10-10 13:27:02,0,0,0,0,0,0,0,0
148,1297091,55891,2021-10-10 13:28:02,0,0,0,0,0,0,0,0
149,1297135,55891,2021-10-10 13:29:02,0,0,0,0,0,0,0,0
150,1297179,55891,2021-10-10 13:30:02,0,0,0,0,0,0,0,0
151,1297223,55891,2021-10-10 13:31:02,0,0,0,0,0,0,0,0
152,1297267,55891,2021-10-10 13:32:02,0,0,0,0,0,0,0,0
153,1297311,55891,2021-10-10 13:33:02,0,0,0,0,0,0,0,0
154,1297355,55891,2021-10-10 13:34:02,0,0,0,0,0,0,0,0
155,1297399,55891,2021-10-10 13:35:02,0,0,0,0,0,0,0,0
156,1297443,55891,2021-10-10 13:36:02,0,0,0,0,0,0,0,0
157,1297487,55891,2021-10-10 13:37:02,0,0,0,0,0,0,0,0
158,1297531,55891,2021-10-10 13:38:02,0,0,0,0,0,0,0,0
159,1297575,55891,2021-10-10 13:39:02,0,0,0,0,0,0,0,0
160,1297619,55891,2021-10-10 13:40:02,0,0,0,0,0,0,0,0
161,1297663,55891,2021-10-10 13:41:02,0,0,0,0,0,0,0,0
162,1297707,55891,2021-10-10 13:42:02,0,0,0,0,0,0,0,0
163,1297751,55891,2021-10-10 13:43:02,0,0,0,0,0,0,0,0
