id,sensorId,timestamp,chan_0,chan_1
3676789,57226,2021-12-11T12:00:40.000Z,0,0
3676817,57226,2021-12-11T12:01:40.000Z,0,0
3676845,57226,2021-12-11T12:02:40.000Z,0,0
3676873,57226,2021-12-11T12:03:40.000Z,0,0
3676901,57226,2021-12-11T12:04:40.000Z,0,0
3676929,57226,2021-12-11T12:05:40.000Z,0,0
3676957,57226,2021-12-11T12:06:40.000Z,0,0
3676985,57226,2021-12-11T12:07:40.000Z,0,0
3677013,57226,2021-12-11T12:08:40.000Z,0,0
3677041,57226,2021-12-11T12:09:40.000Z,0,0
3677069,57226,2021-12-11T12:10:40.000Z,0,0
3677097,57226,2021-12-11T12:11:40.000Z,0,0
3677125,57226,2021-12-11T12:12:40.000Z,0,0
3677153,57226,2021-12-11T12:13:40.000Z,0,0
3677181,57226,2021-12-11T12:14:40.000Z,0,0
3677209,57226,2021-12-11T12:15:40.000Z,0,0
3677237,57226,2021-12-11T12:16:40.000Z,0,0
3677265,57226,2021-12-11T12:17:40.000Z,0,0
3677293,57226,2021-12-11T12:18:40.000Z,0,0
3677321,57226,2021-12-11T12:19:41.000Z,0,0
3677349,57226,2021-12-11T12:20:41.000Z,0,0
3677377,57226,2021-12-11T12:21:41.000Z,0,0
3677405,57226,2021-12-11T12:22:41.000Z,0,0
3677433,57226,2021-12-11T12:23:41.000Z,0,0
3677461,57226,2021-12-11T12:24:41.000Z,0,0
3677489,57226,2021-12-11T12:25:41.000Z,0,0
3677517,57226,2021-12-11T12:26:41.000Z,0,0
3677545,57226,2021-12-11T12:27:41.000Z,0,0
3677573,57226,2021-12-11T12:28:41.000Z,0,0
3677601,57226,2021-12-11T12:29:41.000Z,0,0
3677629,57226,2021-12-11T12:30:41.000Z,0,0
3677657,57226,2021-12-11T12:31:41.000Z,0,0
3677685,57226,2021-12-11T12:32:41.000Z,0,0
3677713,57226,2021-12-11T12:33:41.000Z,0,0
3677741,57226,2021-12-11T12:34:41.000Z,0,0
3677769,57226,2021-12-11T12:35:41.000Z,0,0
3677797,57226,2021-12-11T12:36:41.000Z,0,0
3677825,57226,2021-12-11T12:37:41.000Z,0,0
3677853,57226,2021-12-11T12:38:41.000Z,0,0
3677881,57226,2021-12-11T12:39:41.000Z,0,0
3677909,57226,2021-12-11T12:40:41.000Z,0,0
3677937,57226,2021-12-11T12:41:41.000Z,0,0
3677965,57226,2021-12-11T12:42:41.000Z,0,0
3677993,57226,2021-12-11T12:43:41.000Z,0,0
3678021,57226,2021-12-11T12:44:41.000Z,0,0
3678049,57226,2021-12-11T12:45:41.000Z,0,0
3678077,57226,2021-12-11T12:46:41.000Z,0,0
3678105,57226,2021-12-11T12:47:41.000Z,0,0
3678133,57226,2021-12-11T12:48:41.000Z,0,0
3678161,57226,2021-12-11T12:49:41.000Z,0,0
3678189,57226,2021-12-11T12:50:41.000Z,0,0
3678217,57226,2021-12-11T12:51:41.000Z,0,0
3678245,57226,2021-12-11T12:52:41.000Z,0,0
3678273,57226,2021-12-11T12:53:41.000Z,0,0
3678301,57226,2021-12-11T12:54:41.000Z,0,0
3678329,57226,2021-12-11T12:55:41.000Z,0,0
3678357,57226,2021-12-11T12:56:41.000Z,0,0
3678385,57226,2021-12-11T12:57:41.000Z,0,0
3678413,57226,2021-12-11T12:58:41.000Z,0,0
3678441,57226,2021-12-11T12:59:41.000Z,0,0
3678469,57226,2021-12-11T13:00:41.000Z,0,0
3678497,57226,2021-12-11T13:01:41.000Z,0,0
3678525,57226,2021-12-11T13:02:41.000Z,0,0
3678553,57226,2021-12-11T13:03:41.000Z,0,0
3678581,57226,2021-12-11T13:04:41.000Z,0,0
3678609,57226,2021-12-11T13:05:41.000Z,0,0
3678637,57226,2021-12-11T13:06:41.000Z,0,0
3678665,57226,2021-12-11T13:07:41.000Z,0,0
3678693,57226,2021-12-11T13:08:41.000Z,0,0
3678721,57226,2021-12-11T13:09:41.000Z,0,0
3678749,57226,2021-12-11T13:10:41.000Z,0,0
3678777,57226,2021-12-11T13:11:41.000Z,0,0
3678805,57226,2021-12-11T13:12:41.000Z,0,0
3678833,57226,2021-12-11T13:13:41.000Z,0,0
3678861,57226,2021-12-11T13:14:41.000Z,0,0
3678889,57226,2021-12-11T13:15:41.000Z,0,0
3678917,57226,2021-12-11T13:16:41.000Z,0,0
3678945,57226,2021-12-11T13:17:41.000Z,0,0
3678973,57226,2021-12-11T13:18:41.000Z,0,0
3679001,57226,2021-12-11T13:19:41.000Z,0,0
3679029,57226,2021-12-11T13:20:41.000Z,0,0
