,id,user,sensorId,chiuveta,chiuveta_,timestamp
0,1290615,Costin,20041,5854,5854,2021-10-10 11:00:34
1,1290659,Costin,20041,1655,1655,2021-10-10 11:01:34
2,1290703,Costin,20041,299,299,2021-10-10 11:02:34
3,1290747,Costin,20041,439,439,2021-10-10 11:03:34
4,1290791,Costin,20041,3913,3913,2021-10-10 11:04:34
5,1290835,Costin,20041,5662,5662,2021-10-10 11:05:34
6,1290879,Costin,20041,4352,4352,2021-10-10 11:06:34
7,1290923,Costin,20041,3668,3668,2021-10-10 11:07:34
8,1290967,Costin,20041,4570,4570,2021-10-10 11:08:34
9,1291011,Costin,20041,5099,5099,2021-10-10 11:09:34
10,1291055,Costin,20041,6904,6904,2021-10-10 11:10:34
11,1291099,Costin,20041,3810,3810,2021-10-10 11:11:34
12,1291143,Costin,20041,3392,3392,2021-10-10 11:12:34
13,1291187,Costin,20041,1373,1373,2021-10-10 11:13:34
14,1291231,Costin,20041,3201,3201,2021-10-10 11:14:34
15,1291275,Costin,20041,117,117,2021-10-10 11:15:34
16,1291319,Costin,20041,2,2,2021-10-10 11:16:34
17,1291363,Costin,20041,984,984,2021-10-10 11:17:34
18,1291407,Costin,20041,0,0,2021-10-10 11:18:34
19,1291451,Costin,20041,2168,2168,2021-10-10 11:19:34
20,1291495,Costin,20041,0,0,2021-10-10 11:20:34
21,1291539,Costin,20041,0,0,2021-10-10 11:21:34
22,1291583,Costin,20041,0,0,2021-10-10 11:22:34
23,1291627,Costin,20041,0,0,2021-10-10 11:23:34
24,1291671,Costin,20041,0,0,2021-10-10 11:24:34
25,1291715,Costin,20041,0,0,2021-10-10 11:25:34
26,1291759,Costin,20041,0,0,2021-10-10 11:26:34
27,1291803,Costin,20041,0,0,2021-10-10 11:27:34
28,1291847,Costin,20041,0,0,2021-10-10 11:28:34
29,1291891,Costin,20041,0,0,2021-10-10 11:29:34
30,1291935,Costin,20041,0,0,2021-10-10 11:30:34
31,1291979,Costin,20041,0,0,2021-10-10 11:31:34
32,1292023,Costin,20041,0,0,2021-10-10 11:32:34
33,1292067,Costin,20041,0,0,2021-10-10 11:33:34
