id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
1290601,41364,2021-10-10T12:00:14.000Z,0,0,0,0,0,0,0,0
1290645,41364,2021-10-10T12:01:14.000Z,0,0,0,0,0,0,0,0
1290689,41364,2021-10-10T12:02:14.000Z,0,0,0,0,0,0,0,0
1290733,41364,2021-10-10T12:03:14.000Z,0,0,0,0,0,0,0,0
1290777,41364,2021-10-10T12:04:14.000Z,0,0,0,0,0,0,0,0
1290821,41364,2021-10-10T12:05:14.000Z,0,0,0,0,0,0,0,0
1290865,41364,2021-10-10T12:06:14.000Z,0,0,0,0,0,0,0,0
1290909,41364,2021-10-10T12:07:14.000Z,0,0,0,0,0,0,0,0
1290953,41364,2021-10-10T12:08:14.000Z,0,0,0,0,0,0,0,0
1290997,41364,2021-10-10T12:09:14.000Z,0,0,0,0,0,0,0,0
1291041,41364,2021-10-10T12:10:14.000Z,0,0,0,0,0,0,0,0
1291085,41364,2021-10-10T12:11:14.000Z,0,0,0,0,0,0,0,0
1291129,41364,2021-10-10T12:12:14.000Z,0,0,0,0,0,0,0,0
1291173,41364,2021-10-10T12:13:14.000Z,0,0,0,0,0,0,0,0
1291217,41364,2021-10-10T12:14:14.000Z,0,0,0,0,0,0,0,0
1291261,41364,2021-10-10T12:15:14.000Z,0,0,0,0,0,0,0,0
1291305,41364,2021-10-10T12:16:14.000Z,0,0,0,0,0,0,0,0
1291349,41364,2021-10-10T12:17:14.000Z,0,0,0,0,0,0,0,0
1291393,41364,2021-10-10T12:18:14.000Z,0,0,0,0,0,0,0,0
1291437,41364,2021-10-10T12:19:14.000Z,0,0,0,0,0,0,0,0
1291481,41364,2021-10-10T12:20:14.000Z,0,0,0,0,0,0,0,0
1291525,41364,2021-10-10T12:21:14.000Z,0,0,0,0,0,0,0,0
1291569,41364,2021-10-10T12:22:14.000Z,0,0,0,0,0,0,0,0
1291613,41364,2021-10-10T12:23:14.000Z,0,0,0,0,0,0,0,0
1291657,41364,2021-10-10T12:24:14.000Z,0,0,0,0,0,0,0,0
1291701,41364,2021-10-10T12:25:14.000Z,0,0,0,0,0,0,2,0
1291745,41364,2021-10-10T12:26:14.000Z,0,0,0,0,0,0,0,0
1291789,41364,2021-10-10T12:27:14.000Z,0,0,0,0,0,0,0,0
1291833,41364,2021-10-10T12:28:14.000Z,0,0,0,0,0,0,0,0
1291877,41364,2021-10-10T12:29:14.000Z,0,0,0,0,0,0,0,0
1291921,41364,2021-10-10T12:30:14.000Z,0,0,0,0,0,0,0,0
1291965,41364,2021-10-10T12:31:14.000Z,0,0,0,0,0,0,0,0
1292009,41364,2021-10-10T12:32:14.000Z,0,0,0,0,0,0,0,0
1292053,41364,2021-10-10T12:33:15.000Z,0,0,0,0,0,0,0,0
1292097,41364,2021-10-10T12:34:14.000Z,0,0,0,0,0,0,0,0
1292141,41364,2021-10-10T12:35:14.000Z,0,0,0,0,0,0,0,0
1292185,41364,2021-10-10T12:36:14.000Z,0,0,0,0,0,0,0,0
1292229,41364,2021-10-10T12:37:14.000Z,0,0,0,0,0,0,0,0
1292273,41364,2021-10-10T12:38:14.000Z,0,0,0,0,0,0,0,0
1292317,41364,2021-10-10T12:39:14.000Z,0,0,0,0,0,0,0,0
1292361,41364,2021-10-10T12:40:14.000Z,0,0,0,0,0,0,0,0
1292405,41364,2021-10-10T12:41:14.000Z,0,0,0,0,0,0,0,0
1292449,41364,2021-10-10T12:42:14.000Z,0,0,0,0,0,0,0,0
1292493,41364,2021-10-10T12:43:14.000Z,0,0,0,0,0,0,0,0
1292537,41364,2021-10-10T12:44:14.000Z,0,0,0,0,0,0,0,0
