id,sensorId,timestamp,chan_0,chan_1
6252203,1515,2022-04-05T12:00:46.000Z,0,0
6252231,1515,2022-04-05T12:01:46.000Z,0,0
6252259,1515,2022-04-05T12:02:46.000Z,0,0
6252287,1515,2022-04-05T12:03:46.000Z,0,0
6252315,1515,2022-04-05T12:04:46.000Z,0,0
6252343,1515,2022-04-05T12:05:46.000Z,0,0
6252371,1515,2022-04-05T12:06:46.000Z,0,0
6252399,1515,2022-04-05T12:07:46.000Z,0,0
6252427,1515,2022-04-05T12:08:46.000Z,0,0
6252455,1515,2022-04-05T12:09:46.000Z,0,0
6252483,1515,2022-04-05T12:10:46.000Z,0,0
6252511,1515,2022-04-05T12:11:46.000Z,0,0
6252539,1515,2022-04-05T12:12:46.000Z,0,0
6252567,1515,2022-04-05T12:13:46.000Z,0,0
6252595,1515,2022-04-05T12:14:46.000Z,0,0
6252623,1515,2022-04-05T12:15:46.000Z,0,0
6252651,1515,2022-04-05T12:16:46.000Z,0,0
6252679,1515,2022-04-05T12:17:46.000Z,0,0
6252707,1515,2022-04-05T12:18:46.000Z,0,0
6252735,1515,2022-04-05T12:19:46.000Z,0,0
6252763,1515,2022-04-05T12:20:46.000Z,0,0
6252791,1515,2022-04-05T12:21:46.000Z,0,0
6252819,1515,2022-04-05T12:22:46.000Z,0,0
6252847,1515,2022-04-05T12:23:46.000Z,0,0
6252875,1515,2022-04-05T12:24:46.000Z,0,0
6252903,1515,2022-04-05T12:25:46.000Z,0,0
6252931,1515,2022-04-05T12:26:46.000Z,0,0
6252959,1515,2022-04-05T12:27:46.000Z,0,0
6252987,1515,2022-04-05T12:28:46.000Z,0,0
6253015,1515,2022-04-05T12:29:46.000Z,0,0
6253043,1515,2022-04-05T12:30:46.000Z,0,0
6253071,1515,2022-04-05T12:31:46.000Z,0,0
6253099,1515,2022-04-05T12:32:46.000Z,0,0
6253127,1515,2022-04-05T12:33:46.000Z,0,0
6253155,1515,2022-04-05T12:34:46.000Z,0,0
6253183,1515,2022-04-05T12:35:46.000Z,0,0
6253211,1515,2022-04-05T12:36:46.000Z,0,0
6253239,1515,2022-04-05T12:37:46.000Z,0,0
6253267,1515,2022-04-05T12:38:46.000Z,0,0
6253295,1515,2022-04-05T12:39:46.000Z,0,0
6253323,1515,2022-04-05T12:40:46.000Z,0,0
6253351,1515,2022-04-05T12:41:46.000Z,0,0
6253379,1515,2022-04-05T12:42:46.000Z,0,0
6253407,1515,2022-04-05T12:43:46.000Z,0,0
6253435,1515,2022-04-05T12:44:46.000Z,0,0
6253463,1515,2022-04-05T12:45:46.000Z,0,0
6253491,1515,2022-04-05T12:46:46.000Z,0,0
6253519,1515,2022-04-05T12:47:46.000Z,0,0
6253547,1515,2022-04-05T12:48:46.000Z,0,0
6253575,1515,2022-04-05T12:49:46.000Z,0,0
6253603,1515,2022-04-05T12:50:46.000Z,0,0
6253631,1515,2022-04-05T12:51:46.000Z,0,0
6253659,1515,2022-04-05T12:52:46.000Z,0,0
6253687,1515,2022-04-05T12:53:46.000Z,0,0
6253715,1515,2022-04-05T12:54:46.000Z,0,0
6253743,1515,2022-04-05T12:55:46.000Z,0,0
6253771,1515,2022-04-05T12:56:46.000Z,0,0
6253799,1515,2022-04-05T12:57:46.000Z,0,0
6253827,1515,2022-04-05T12:58:46.000Z,0,0
6253855,1515,2022-04-05T12:59:46.000Z,0,0
6253883,1515,2022-04-05T13:00:46.000Z,0,0
6253911,1515,2022-04-05T13:01:46.000Z,0,0
6253939,1515,2022-04-05T13:02:46.000Z,0,0
6253967,1515,2022-04-05T13:03:46.000Z,0,0
6253995,1515,2022-04-05T13:04:46.000Z,0,0
6254023,1515,2022-04-05T13:05:46.000Z,0,0
6254051,1515,2022-04-05T13:06:46.000Z,0,0
6254079,1515,2022-04-05T13:07:46.000Z,0,0
6254107,1515,2022-04-05T13:08:46.000Z,0,0
6254135,1515,2022-04-05T13:09:46.000Z,0,0
6254163,1515,2022-04-05T13:10:46.000Z,0,0
6254191,1515,2022-04-05T13:11:46.000Z,0,0
6254219,1515,2022-04-05T13:12:46.000Z,0,0
6254247,1515,2022-04-05T13:13:46.000Z,0,0
6254275,1515,2022-04-05T13:14:46.000Z,0,0
6254303,1515,2022-04-05T13:15:46.000Z,0,0
6254331,1515,2022-04-05T13:16:46.000Z,0,0
6254359,1515,2022-04-05T13:17:46.000Z,0,0
6254387,1515,2022-04-05T13:18:46.000Z,0,0
6254415,1515,2022-04-05T13:19:46.000Z,0,0
6254443,1515,2022-04-05T13:20:46.000Z,0,0
6254471,1515,2022-04-05T13:21:46.000Z,0,0
6254499,1515,2022-04-05T13:22:46.000Z,0,0
6254527,1515,2022-04-05T13:23:46.000Z,0,0
6254555,1515,2022-04-05T13:24:46.000Z,0,0
6254583,1515,2022-04-05T13:25:46.000Z,0,0
6254611,1515,2022-04-05T13:26:46.000Z,0,0
6254639,1515,2022-04-05T13:27:46.000Z,0,0
6254667,1515,2022-04-05T13:28:46.000Z,0,0
6254695,1515,2022-04-05T13:29:46.000Z,0,0
6254723,1515,2022-04-05T13:30:46.000Z,0,0
6254751,1515,2022-04-05T13:31:46.000Z,0,0
6254779,1515,2022-04-05T13:32:46.000Z,0,0
6254807,1515,2022-04-05T13:33:46.000Z,0,0
6254835,1515,2022-04-05T13:34:46.000Z,0,0
6254863,1515,2022-04-05T13:35:46.000Z,0,0
6254891,1515,2022-04-05T13:36:46.000Z,0,0
6254919,1515,2022-04-05T13:37:46.000Z,0,0
6254947,1515,2022-04-05T13:38:46.000Z,4771,286
6254975,1515,2022-04-05T13:39:46.000Z,4851,291
6255003,1515,2022-04-05T13:40:46.000Z,0,0
6255031,1515,2022-04-05T13:41:46.000Z,0,0
6255059,1515,2022-04-05T13:42:46.000Z,0,0
6255087,1515,2022-04-05T13:43:46.000Z,0,0
6255115,1515,2022-04-05T13:44:46.000Z,0,0
6255143,1515,2022-04-05T13:45:46.000Z,0,0
6255171,1515,2022-04-05T13:46:46.000Z,0,0
6255199,1515,2022-04-05T13:47:46.000Z,0,0
6255227,1515,2022-04-05T13:48:46.000Z,0,0
6255255,1515,2022-04-05T13:49:46.000Z,0,0
6255283,1515,2022-04-05T13:50:46.000Z,0,0
6255311,1515,2022-04-05T13:51:46.000Z,0,0
6255339,1515,2022-04-05T13:52:46.000Z,0,0
6255367,1515,2022-04-05T13:53:46.000Z,0,0
6255395,1515,2022-04-05T13:54:46.000Z,0,0
6255423,1515,2022-04-05T13:55:46.000Z,0,0
6255451,1515,2022-04-05T13:56:46.000Z,0,0
6255479,1515,2022-04-05T13:57:46.000Z,0,0
6255507,1515,2022-04-05T13:58:46.000Z,0,0
6255535,1515,2022-04-05T13:59:46.000Z,0,0
6255563,1515,2022-04-05T14:00:46.000Z,0,0
6255591,1515,2022-04-05T14:01:46.000Z,0,0
6255619,1515,2022-04-05T14:02:46.000Z,0,0
6255647,1515,2022-04-05T14:03:46.000Z,0,0
6255675,1515,2022-04-05T14:04:46.000Z,0,0
6255703,1515,2022-04-05T14:05:46.000Z,0,0
6255731,1515,2022-04-05T14:06:46.000Z,0,0
6255759,1515,2022-04-05T14:07:46.000Z,0,0
6255787,1515,2022-04-05T14:08:46.000Z,0,0
6255815,1515,2022-04-05T14:09:46.000Z,0,0
6255843,1515,2022-04-05T14:10:46.000Z,0,0
6255871,1515,2022-04-05T14:11:46.000Z,0,0
6255899,1515,2022-04-05T14:12:46.000Z,0,0
6255927,1515,2022-04-05T14:13:46.000Z,0,0
6255955,1515,2022-04-05T14:14:46.000Z,0,0
6255983,1515,2022-04-05T14:15:46.000Z,0,0
6256011,1515,2022-04-05T14:16:46.000Z,0,0
