,id,sensorId,timestamp,chiuveta,chiuveta_
0,3638921,65506,2021-12-10 12:00:18,0,0
1,3638947,65506,2021-12-10 12:01:18,0,0
2,3638973,65506,2021-12-10 12:02:18,0,0
3,3638999,65506,2021-12-10 12:03:18,0,0
4,3639025,65506,2021-12-10 12:04:18,0,0
5,3639051,65506,2021-12-10 12:05:18,0,0
6,3639077,65506,2021-12-10 12:06:18,0,0
7,3639103,65506,2021-12-10 12:07:18,0,0
8,3639129,65506,2021-12-10 12:08:18,0,0
9,3639155,65506,2021-12-10 12:09:18,0,0
10,3639181,65506,2021-12-10 12:10:18,0,0
11,3639207,65506,2021-12-10 12:11:18,0,0
12,3639233,65506,2021-12-10 12:12:18,0,0
13,3639259,65506,2021-12-10 12:13:18,0,0
14,3639285,65506,2021-12-10 12:14:18,0,0
15,3639311,65506,2021-12-10 12:15:18,0,0
16,3639337,65506,2021-12-10 12:16:18,0,0
17,3639363,65506,2021-12-10 12:17:18,0,0
18,3639389,65506,2021-12-10 12:18:18,0,0
19,3639415,65506,2021-12-10 12:19:18,0,0
20,3639441,65506,2021-12-10 12:20:18,0,0
21,3639467,65506,2021-12-10 12:21:18,0,0
22,3639493,65506,2021-12-10 12:22:18,0,0
23,3639519,65506,2021-12-10 12:23:18,0,0
24,3639545,65506,2021-12-10 12:24:18,0,0
25,3639571,65506,2021-12-10 12:25:18,0,0
26,3639597,65506,2021-12-10 12:26:18,0,0
27,3639623,65506,2021-12-10 12:27:18,0,0
28,3639649,65506,2021-12-10 12:28:18,0,0
29,3639675,65506,2021-12-10 12:29:18,0,0
30,3639701,65506,2021-12-10 12:30:18,0,0
31,3639727,65506,2021-12-10 12:31:18,0,0
32,3639753,65506,2021-12-10 12:32:18,0,0
33,3639779,65506,2021-12-10 12:33:18,0,0
34,3639805,65506,2021-12-10 12:34:18,0,0
35,3639831,65506,2021-12-10 12:35:18,0,0
36,3639857,65506,2021-12-10 12:36:18,0,0
37,3639883,65506,2021-12-10 12:37:18,0,0
38,3639909,65506,2021-12-10 12:38:18,0,0
39,3639935,65506,2021-12-10 12:39:18,0,0
40,3639961,65506,2021-12-10 12:40:18,0,0
41,3639987,65506,2021-12-10 12:41:18,0,0
42,3640013,65506,2021-12-10 12:42:18,0,0
43,3640039,65506,2021-12-10 12:43:18,0,0
44,3640065,65506,2021-12-10 12:44:18,0,0
45,3640091,65506,2021-12-10 12:45:18,0,0
46,3640117,65506,2021-12-10 12:46:18,0,0
47,3640143,65506,2021-12-10 12:47:18,0,0
48,3640169,65506,2021-12-10 12:48:18,0,0
49,3640195,65506,2021-12-10 12:49:18,0,0
50,3640221,65506,2021-12-10 12:50:18,0,0
51,3640247,65506,2021-12-10 12:51:18,0,0
52,3640273,65506,2021-12-10 12:52:18,0,0
53,3640299,65506,2021-12-10 12:53:18,0,0
54,3640325,65506,2021-12-10 12:54:18,0,0
55,3640351,65506,2021-12-10 12:55:18,0,0
56,3640377,65506,2021-12-10 12:56:18,0,0
57,3640403,65506,2021-12-10 12:57:18,0,0
58,3640429,65506,2021-12-10 12:58:18,0,0
59,3640455,65506,2021-12-10 12:59:18,0,0
60,3640481,65506,2021-12-10 13:00:18,0,0
61,3640507,65506,2021-12-10 13:01:18,0,0
62,3640533,65506,2021-12-10 13:02:18,0,0
63,3640559,65506,2021-12-10 13:03:18,0,0
64,3640585,65506,2021-12-10 13:04:18,0,0
65,3640611,65506,2021-12-10 13:05:18,0,0
66,3640637,65506,2021-12-10 13:06:18,0,0
67,3640663,65506,2021-12-10 13:07:18,0,0
68,3640689,65506,2021-12-10 13:08:18,0,0
69,3640715,65506,2021-12-10 13:09:18,0,0
70,3640741,65506,2021-12-10 13:10:18,0,0
71,3640767,65506,2021-12-10 13:11:18,0,0
72,3640793,65506,2021-12-10 13:12:18,0,0
73,3640819,65506,2021-12-10 13:13:18,0,0
74,3640845,65506,2021-12-10 13:14:18,0,0
75,3640871,65506,2021-12-10 13:15:18,0,0
76,3640897,65506,2021-12-10 13:16:18,0,0
77,3640923,65506,2021-12-10 13:17:18,0,0
78,3640949,65506,2021-12-10 13:18:18,0,0
