id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
1290587,55891,2021-10-10T12:00:02.000Z,2,0,2586,155,0,0,0,0
1290631,55891,2021-10-10T12:01:02.000Z,0,0,0,0,0,0,0,0
1290675,55891,2021-10-10T12:02:02.000Z,0,0,0,0,0,0,0,0
1290719,55891,2021-10-10T12:03:02.000Z,0,0,0,0,0,0,0,0
1290763,55891,2021-10-10T12:04:02.000Z,0,0,0,0,0,0,0,0
1290807,55891,2021-10-10T12:05:02.000Z,0,0,0,0,0,0,0,0
1290851,55891,2021-10-10T12:06:02.000Z,0,0,0,0,0,0,0,0
1290895,55891,2021-10-10T12:07:02.000Z,0,0,0,0,0,0,0,0
1290939,55891,2021-10-10T12:08:02.000Z,0,0,0,0,0,0,0,0
1290983,55891,2021-10-10T12:09:02.000Z,0,0,0,0,0,0,0,0
1291027,55891,2021-10-10T12:10:02.000Z,0,0,0,0,0,0,0,0
1291071,55891,2021-10-10T12:11:02.000Z,0,0,0,0,0,0,0,0
1291115,55891,2021-10-10T12:12:02.000Z,0,0,0,0,0,0,0,0
1291159,55891,2021-10-10T12:13:02.000Z,0,0,0,0,0,0,0,0
1291203,55891,2021-10-10T12:14:02.000Z,0,0,0,0,0,0,0,0
1291247,55891,2021-10-10T12:15:02.000Z,0,0,0,0,0,0,0,0
1291291,55891,2021-10-10T12:16:02.000Z,0,0,0,0,0,0,0,0
1291335,55891,2021-10-10T12:17:02.000Z,0,0,0,0,0,0,0,0
1291379,55891,2021-10-10T12:18:02.000Z,0,0,0,0,0,0,0,0
1291423,55891,2021-10-10T12:19:02.000Z,0,0,0,0,0,0,0,0
1291467,55891,2021-10-10T12:20:02.000Z,0,0,0,0,0,0,0,0
1291511,55891,2021-10-10T12:21:02.000Z,0,0,0,0,0,0,0,0
1291555,55891,2021-10-10T12:22:02.000Z,0,0,0,0,0,0,0,0
1291599,55891,2021-10-10T12:23:02.000Z,0,0,0,0,0,0,0,0
1291643,55891,2021-10-10T12:24:02.000Z,0,0,0,0,0,0,0,0
1291687,55891,2021-10-10T12:25:02.000Z,0,0,0,0,0,0,0,0
1291731,55891,2021-10-10T12:26:02.000Z,0,0,1671,100,0,0,0,0
1291775,55891,2021-10-10T12:27:02.000Z,0,0,55,3,0,0,0,0
1291819,55891,2021-10-10T12:28:02.000Z,0,0,2,0,73,4,0,0
1291863,55891,2021-10-10T12:29:02.000Z,0,0,97,5,4711,282,0,0
1291907,55891,2021-10-10T12:30:02.000Z,0,0,0,0,4642,278,0,0
1291951,55891,2021-10-10T12:31:02.000Z,0,0,0,0,651,39,0,0
1291995,55891,2021-10-10T12:32:02.000Z,0,0,0,0,0,0,0,0
1292039,55891,2021-10-10T12:33:02.000Z,0,0,0,0,0,0,0,0
1292083,55891,2021-10-10T12:34:02.000Z,0,0,0,0,0,0,0,0
1292127,55891,2021-10-10T12:35:02.000Z,0,0,0,0,0,0,0,0
1292171,55891,2021-10-10T12:36:02.000Z,0,0,0,0,0,0,0,0
1292215,55891,2021-10-10T12:37:02.000Z,0,0,0,0,0,0,0,0
1292259,55891,2021-10-10T12:38:02.000Z,0,0,0,0,0,0,0,0
1292303,55891,2021-10-10T12:39:02.000Z,0,0,0,0,0,0,0,0
1292347,55891,2021-10-10T12:40:02.000Z,0,0,0,0,0,0,0,0
1292391,55891,2021-10-10T12:41:02.000Z,0,0,0,0,0,0,0,0
1292435,55891,2021-10-10T12:42:02.000Z,0,0,0,0,0,0,0,0
1292479,55891,2021-10-10T12:43:02.000Z,0,0,0,0,0,0,0,0
1292523,55891,2021-10-10T12:44:02.000Z,0,0,0,0,0,0,0,0
1292567,55891,2021-10-10T12:45:02.000Z,0,0,0,0,0,0,0,0
1292611,55891,2021-10-10T12:46:02.000Z,0,0,0,0,0,0,0,0
1292655,55891,2021-10-10T12:47:02.000Z,0,0,0,0,0,0,0,0
1292699,55891,2021-10-10T12:48:02.000Z,0,0,0,0,0,0,0,0
1292743,55891,2021-10-10T12:49:02.000Z,0,0,0,0,0,0,0,0
1292787,55891,2021-10-10T12:50:02.000Z,0,0,0,0,0,0,0,0
1292831,55891,2021-10-10T12:51:02.000Z,0,0,0,0,0,0,0,0
1292875,55891,2021-10-10T12:52:02.000Z,0,0,0,0,0,0,0,0
1292919,55891,2021-10-10T12:53:02.000Z,0,0,0,0,0,0,0,0
1292963,55891,2021-10-10T12:54:02.000Z,0,0,300,17,1560,93,0,0
1293007,55891,2021-10-10T12:55:02.000Z,0,0,0,0,4631,277,0,0
1293051,55891,2021-10-10T12:56:02.000Z,0,0,0,0,4066,243,0,0
1293087,55891,2021-10-10T12:57:02.000Z,0,0,0,0,0,0,0,0
1293131,55891,2021-10-10T12:58:02.000Z,0,0,0,0,0,0,0,0
1293175,55891,2021-10-10T12:59:02.000Z,0,0,0,0,0,0,0,0
1293219,55891,2021-10-10T13:00:02.000Z,0,0,0,0,0,0,0,0
1293263,55891,2021-10-10T13:01:02.000Z,0,0,0,0,0,0,0,0
