label,count,disp,duration,volume
0,1065,1813072.1207520445,1.2291079812206556,706.0215962441271
1,1361,3120981.5047154375,2.4180749448934606,8277.550330639235
2,41,94092752.11659725,5.121951219512195,22905.87804878049
