id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5
7290597,57226,2022-05-04T12:00:31.000Z,0,0,0,0,0,0
7290625,57226,2022-05-04T12:01:31.000Z,0,0,0,0,0,0
7290653,57226,2022-05-04T12:02:31.000Z,0,0,0,0,0,0
7290685,57226,2022-05-04T12:03:31.000Z,0,0,0,0,0,0
7290717,57226,2022-05-04T12:04:31.000Z,0,0,0,0,0,0
7290749,57226,2022-05-04T12:05:31.000Z,0,0,0,0,0,0
7290781,57226,2022-05-04T12:06:31.000Z,0,0,0,0,0,0
7290813,57226,2022-05-04T12:07:31.000Z,0,0,0,0,0,0
7290845,57226,2022-05-04T12:08:31.000Z,0,0,0,0,0,0
7290873,57226,2022-05-04T12:09:31.000Z,0,0,0,0,0,0
7290905,57226,2022-05-04T12:10:31.000Z,0,0,0,0,0,0
7290937,57226,2022-05-04T12:11:31.000Z,0,0,0,0,0,0
7290969,57226,2022-05-04T12:12:31.000Z,0,0,0,0,0,0
7291001,57226,2022-05-04T12:13:31.000Z,0,0,0,0,0,0
7291033,57226,2022-05-04T12:14:31.000Z,0,0,0,0,0,0
7291065,57226,2022-05-04T12:15:31.000Z,0,0,0,0,0,0
7291097,57226,2022-05-04T12:16:31.000Z,0,0,0,0,0,0
7291129,57226,2022-05-04T12:17:31.000Z,0,0,0,0,0,0
7291161,57226,2022-05-04T12:18:31.000Z,0,0,0,0,0,0
7291193,57226,2022-05-04T12:19:31.000Z,0,0,0,0,0,0
7291225,57226,2022-05-04T12:20:31.000Z,0,0,0,0,0,0
7291257,57226,2022-05-04T12:21:31.000Z,0,0,0,0,0,0
7291289,57226,2022-05-04T12:22:31.000Z,0,0,0,0,0,0
7291321,57226,2022-05-04T12:23:31.000Z,0,0,0,0,0,0
7291353,57226,2022-05-04T12:24:31.000Z,0,0,0,0,0,0
7291385,57226,2022-05-04T12:25:31.000Z,0,0,0,0,0,0
7291413,57226,2022-05-04T12:26:31.000Z,0,0,0,0,0,0
7291441,57226,2022-05-04T12:27:31.000Z,0,0,0,0,0,0
7291469,57226,2022-05-04T12:28:31.000Z,0,0,0,0,0,0
7291501,57226,2022-05-04T12:29:31.000Z,0,0,0,0,0,0
7291533,57226,2022-05-04T12:30:31.000Z,0,0,0,0,0,0
7291565,57226,2022-05-04T12:31:31.000Z,0,0,0,0,0,0
7291597,57226,2022-05-04T12:32:31.000Z,0,0,0,0,0,0
7291629,57226,2022-05-04T12:33:31.000Z,0,0,0,0,0,0
7291661,57226,2022-05-04T12:34:31.000Z,0,0,0,0,0,0
