id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5
1290595,53081,2021-10-10T12:00:06.000Z,0,0,0,0,0,0
1290639,53081,2021-10-10T12:01:06.000Z,0,0,0,0,0,0
1290683,53081,2021-10-10T12:02:06.000Z,0,0,0,0,0,0
1290727,53081,2021-10-10T12:03:06.000Z,0,0,0,0,0,0
1290771,53081,2021-10-10T12:04:06.000Z,2464,147,295,17,0,0
1290815,53081,2021-10-10T12:05:06.000Z,277,16,42,2,0,0
1290859,53081,2021-10-10T12:06:06.000Z,1162,69,244,14,0,0
1290903,53081,2021-10-10T12:07:06.000Z,342,20,82,4,1555,93
1290947,53081,2021-10-10T12:08:06.000Z,0,0,0,0,6064,363
1290991,53081,2021-10-10T12:09:06.000Z,0,0,0,0,200,11
1291035,53081,2021-10-10T12:10:06.000Z,0,0,0,0,0,0
1291079,53081,2021-10-10T12:11:06.000Z,53,3,384,23,0,0
1291123,53081,2021-10-10T12:12:06.000Z,0,0,0,0,0,0
1291167,53081,2021-10-10T12:13:06.000Z,0,0,0,0,0,0
1291211,53081,2021-10-10T12:14:06.000Z,0,0,0,0,0,0
1291255,53081,2021-10-10T12:15:06.000Z,0,0,0,0,0,0
1291299,53081,2021-10-10T12:16:06.000Z,0,0,0,0,0,0
1291343,53081,2021-10-10T12:17:06.000Z,0,0,0,0,0,0
1291387,53081,2021-10-10T12:18:06.000Z,0,0,0,0,0,0
1291431,53081,2021-10-10T12:19:06.000Z,0,0,0,0,0,0
1291475,53081,2021-10-10T12:20:06.000Z,0,0,0,0,0,0
1291519,53081,2021-10-10T12:21:06.000Z,0,0,0,0,0,0
1291563,53081,2021-10-10T12:22:06.000Z,0,0,0,0,0,0
1291607,53081,2021-10-10T12:23:06.000Z,0,0,0,0,0,0
1291651,53081,2021-10-10T12:24:06.000Z,0,0,0,0,0,0
1291695,53081,2021-10-10T12:25:06.000Z,0,0,0,0,0,0
1291739,53081,2021-10-10T12:26:06.000Z,0,0,0,0,0,0
1291783,53081,2021-10-10T12:27:06.000Z,0,0,0,0,0,0
1291827,53081,2021-10-10T12:28:06.000Z,0,0,0,0,0,0
1291871,53081,2021-10-10T12:29:06.000Z,0,0,0,0,0,0
1291915,53081,2021-10-10T12:30:06.000Z,0,0,0,0,0,0
1291959,53081,2021-10-10T12:31:06.000Z,0,0,0,0,0,0
1292003,53081,2021-10-10T12:32:06.000Z,0,0,0,0,0,0
1292047,53081,2021-10-10T12:33:06.000Z,0,0,0,0,0,0
1292091,53081,2021-10-10T12:34:06.000Z,0,0,0,0,0,0
1292135,53081,2021-10-10T12:35:06.000Z,0,0,0,0,0,0
1292179,53081,2021-10-10T12:36:06.000Z,0,0,0,0,0,0
1292223,53081,2021-10-10T12:37:06.000Z,0,0,0,0,0,0
1292267,53081,2021-10-10T12:38:06.000Z,0,0,0,0,0,0
1292311,53081,2021-10-10T12:39:06.000Z,0,0,0,0,0,0
1292355,53081,2021-10-10T12:40:06.000Z,0,0,0,0,0,0
1292399,53081,2021-10-10T12:41:06.000Z,0,0,0,0,0,0
1292443,53081,2021-10-10T12:42:06.000Z,0,0,0,0,0,0
1292487,53081,2021-10-10T12:43:06.000Z,0,0,0,0,0,0
1292531,53081,2021-10-10T12:44:06.000Z,0,0,0,0,0,0
1292575,53081,2021-10-10T12:45:06.000Z,0,0,0,0,0,0
1292619,53081,2021-10-10T12:46:06.000Z,0,0,0,0,0,0
1292663,53081,2021-10-10T12:47:06.000Z,0,0,0,0,0,0
1292707,53081,2021-10-10T12:48:06.000Z,0,0,0,0,0,0
1292751,53081,2021-10-10T12:49:06.000Z,0,0,0,0,0,0
1292795,53081,2021-10-10T12:50:06.000Z,0,0,0,0,0,0
1292839,53081,2021-10-10T12:51:06.000Z,0,0,0,0,0,0
1292883,53081,2021-10-10T12:52:06.000Z,0,0,0,0,0,0
1292927,53081,2021-10-10T12:53:06.000Z,0,0,0,0,0,0
1292971,53081,2021-10-10T12:54:06.000Z,0,0,0,0,0,0
1293015,53081,2021-10-10T12:55:06.000Z,0,0,0,0,0,0
1293059,53081,2021-10-10T12:56:06.000Z,0,0,0,0,0,0
1293095,53081,2021-10-10T12:57:06.000Z,0,0,0,0,0,0
1293139,53081,2021-10-10T12:58:06.000Z,0,0,0,0,0,0
1293183,53081,2021-10-10T12:59:06.000Z,0,0,0,0,0,0
1293227,53081,2021-10-10T13:00:06.000Z,0,0,0,0,0,0
1293271,53081,2021-10-10T13:01:06.000Z,0,0,0,0,0,0
1293315,53081,2021-10-10T13:02:06.000Z,0,0,0,0,0,0
1293359,53081,2021-10-10T13:03:06.000Z,0,0,0,0,0,0
1293403,53081,2021-10-10T13:04:06.000Z,0,0,0,0,0,0
1293447,53081,2021-10-10T13:05:06.000Z,0,0,0,0,0,0
1293491,53081,2021-10-10T13:06:06.000Z,0,0,0,0,0,0
1293535,53081,2021-10-10T13:07:06.000Z,0,0,0,0,0,0
1293579,53081,2021-10-10T13:08:08.000Z,0,0,0,0,0,0
1293623,53081,2021-10-10T13:09:06.000Z,0,0,0,0,0,0
1293667,53081,2021-10-10T13:10:06.000Z,0,0,0,0,0,0
1293711,53081,2021-10-10T13:11:06.000Z,0,0,0,0,0,0
1293755,53081,2021-10-10T13:12:06.000Z,0,0,0,0,0,0
1293799,53081,2021-10-10T13:13:06.000Z,0,0,0,0,0,0
1293843,53081,2021-10-10T13:14:06.000Z,0,0,0,0,0,0
1293887,53081,2021-10-10T13:15:06.000Z,0,0,0,0,0,0
1293931,53081,2021-10-10T13:16:06.000Z,0,0,0,0,0,0
1293975,53081,2021-10-10T13:17:06.000Z,0,0,0,0,0,0
1294019,53081,2021-10-10T13:18:06.000Z,0,0,0,0,0,0
1294063,53081,2021-10-10T13:19:06.000Z,0,0,0,0,0,0
1294107,53081,2021-10-10T13:20:06.000Z,0,0,0,0,0,0
1294151,53081,2021-10-10T13:21:06.000Z,0,0,0,0,0,0
1294195,53081,2021-10-10T13:22:06.000Z,0,0,0,0,0,0
1294239,53081,2021-10-10T13:23:06.000Z,0,0,0,0,0,0
1294283,53081,2021-10-10T13:24:06.000Z,0,0,0,0,0,0
1294327,53081,2021-10-10T13:25:06.000Z,0,0,0,0,0,0
1294371,53081,2021-10-10T13:26:06.000Z,0,0,0,0,0,0
1294415,53081,2021-10-10T13:27:06.000Z,0,0,0,0,0,0
1294459,53081,2021-10-10T13:28:06.000Z,0,0,0,0,0,0
1294503,53081,2021-10-10T13:29:06.000Z,0,0,0,0,0,0
1294547,53081,2021-10-10T13:30:06.000Z,0,0,0,0,0,0
1294591,53081,2021-10-10T13:31:06.000Z,0,0,0,0,0,0
1294635,53081,2021-10-10T13:32:06.000Z,0,0,0,0,0,0
1294679,53081,2021-10-10T13:33:06.000Z,0,0,0,0,0,0
1294723,53081,2021-10-10T13:34:06.000Z,0,0,0,0,0,0
1294767,53081,2021-10-10T13:35:06.000Z,0,0,0,0,0,0
1294811,53081,2021-10-10T13:36:06.000Z,0,0,0,0,0,0
1294855,53081,2021-10-10T13:37:06.000Z,0,0,0,0,0,0
1294899,53081,2021-10-10T13:38:06.000Z,0,0,0,0,0,0
1294943,53081,2021-10-10T13:39:06.000Z,0,0,0,0,0,0
1294987,53081,2021-10-10T13:40:06.000Z,0,0,0,0,0,0
1295031,53081,2021-10-10T13:41:06.000Z,0,0,0,0,0,0
1295075,53081,2021-10-10T13:42:06.000Z,0,0,0,0,0,0
1295119,53081,2021-10-10T13:43:06.000Z,0,0,0,0,0,0
1295163,53081,2021-10-10T13:44:06.000Z,0,0,0,0,0,0
1295207,53081,2021-10-10T13:45:06.000Z,0,0,0,0,0,0
1295251,53081,2021-10-10T13:46:06.000Z,0,0,0,0,0,0
1295295,53081,2021-10-10T13:47:06.000Z,0,0,0,0,0,0
1295339,53081,2021-10-10T13:48:06.000Z,0,0,0,0,0,0
1295383,53081,2021-10-10T13:49:06.000Z,0,0,0,0,0,0
1295427,53081,2021-10-10T13:50:06.000Z,0,0,0,0,0,0
1295471,53081,2021-10-10T13:51:06.000Z,0,0,0,0,0,0
1295515,53081,2021-10-10T13:52:06.000Z,0,0,0,0,0,0
1295559,53081,2021-10-10T13:53:06.000Z,0,0,0,0,0,0
1295603,53081,2021-10-10T13:54:06.000Z,0,0,0,0,0,0
1295647,53081,2021-10-10T13:55:06.000Z,0,0,0,0,0,0
1295691,53081,2021-10-10T13:56:06.000Z,0,0,0,0,0,0
1295735,53081,2021-10-10T13:57:06.000Z,0,0,0,0,0,0
1295779,53081,2021-10-10T13:58:06.000Z,0,0,0,0,0,0
1295823,53081,2021-10-10T13:59:06.000Z,0,0,0,0,0,0
1295867,53081,2021-10-10T14:00:06.000Z,0,0,0,0,0,0
1295911,53081,2021-10-10T14:01:06.000Z,0,0,0,0,0,0
1295955,53081,2021-10-10T14:02:06.000Z,0,0,0,0,0,0
1295999,53081,2021-10-10T14:03:06.000Z,0,0,0,0,0,0
1296043,53081,2021-10-10T14:04:06.000Z,0,0,0,0,0,0
1296087,53081,2021-10-10T14:05:06.000Z,0,0,0,0,0,0
1296131,53081,2021-10-10T14:06:06.000Z,0,0,0,0,0,0
