,id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
26262,3793227,89776,2021-12-14 15:44:12,0,0,0,0,0,0,0,0,0,0
26263,3793247,89776,2021-12-14 15:45:13,0,0,0,0,0,0,0,0,0,0
26264,3793267,89776,2021-12-14 15:46:12,0,0,0,0,0,0,0,0,0,0
26265,3793287,89776,2021-12-14 15:47:12,0,0,0,0,0,0,0,0,0,0
26266,3793307,89776,2021-12-14 15:48:12,0,0,0,0,0,0,0,0,0,0
26267,3793327,89776,2021-12-14 15:49:12,0,0,0,0,0,0,0,0,0,0
26268,3793347,89776,2021-12-14 15:50:12,0,0,0,0,0,0,0,0,0,0
26269,3793367,89776,2021-12-14 15:51:12,0,0,0,0,0,0,0,0,0,0
26270,3793387,89776,2021-12-14 15:52:12,0,0,0,0,0,0,0,0,0,0
26271,3793407,89776,2021-12-14 15:53:12,0,0,0,0,0,0,0,0,0,0
26272,3793427,89776,2021-12-14 15:54:12,0,0,0,0,0,0,0,0,0,0
26273,3793455,89776,2021-12-14 15:55:12,0,0,0,0,0,0,0,0,0,0
26274,3793475,89776,2021-12-14 15:56:12,0,0,0,0,0,0,0,0,0,0
26275,3793495,89776,2021-12-14 15:57:12,0,0,0,0,0,0,0,0,0,0
26276,3793515,89776,2021-12-14 15:58:12,0,0,0,0,0,0,0,0,0,0
26277,3793535,89776,2021-12-14 15:59:13,0,0,0,0,0,0,0,0,0,0
26278,3793555,89776,2021-12-14 16:00:13,0,0,0,0,0,0,0,0,0,0
26279,3793575,89776,2021-12-14 16:01:13,0,0,0,0,0,0,0,0,0,0
26280,3793595,89776,2021-12-14 16:02:13,0,0,0,0,0,0,0,0,0,0
26281,3793615,89776,2021-12-14 16:03:13,0,0,0,0,0,0,0,0,0,0
26282,3793635,89776,2021-12-14 16:04:13,0,0,0,0,0,0,0,0,0,0
26283,3793655,89776,2021-12-14 16:05:13,0,0,0,0,0,0,0,0,0,0
26284,3793675,89776,2021-12-14 16:06:13,0,0,0,0,202,12,0,0,0,0
26285,3793695,89776,2021-12-14 16:07:13,0,0,0,0,0,0,0,0,0,0
26286,3793715,89776,2021-12-14 16:08:13,0,0,0,0,0,0,2,0,0,0
26287,3793735,89776,2021-12-14 16:09:13,0,0,0,0,0,0,0,0,0,0
26288,3793755,89776,2021-12-14 16:10:13,0,0,0,0,0,0,0,0,0,0
26289,3793775,89776,2021-12-14 16:11:13,0,0,0,0,0,0,0,0,0,0
26290,3793795,89776,2021-12-14 16:12:13,0,0,0,0,0,0,0,0,0,0
26291,3793815,89776,2021-12-14 16:13:13,0,0,0,0,0,0,0,0,0,0
26292,3793835,89776,2021-12-14 16:14:13,0,0,0,0,0,0,0,0,0,0
26293,3793855,89776,2021-12-14 16:15:13,0,0,0,0,0,0,0,0,0,0
26294,3793875,89776,2021-12-14 16:16:13,0,0,0,0,0,0,0,0,0,0
26295,3793895,89776,2021-12-14 16:17:13,0,0,0,0,0,0,0,0,0,0
26296,3793915,89776,2021-12-14 16:18:13,0,0,0,0,0,0,0,0,0,0
26297,3793935,89776,2021-12-14 16:19:13,0,0,0,0,0,0,0,0,0,0
26298,3793955,89776,2021-12-14 16:20:13,0,0,0,0,0,0,0,0,0,0
26299,3793975,89776,2021-12-14 16:21:13,0,0,0,0,0,0,0,0,0,0
26300,3793995,89776,2021-12-14 16:22:13,0,0,0,0,0,0,0,0,0,0
26301,3794015,89776,2021-12-14 16:23:13,0,0,0,0,0,0,0,0,0,0
26302,3794035,89776,2021-12-14 16:24:13,0,0,0,0,0,0,0,0,0,0
26303,3794055,89776,2021-12-14 16:25:13,0,0,0,0,0,0,0,0,0,0
26304,3794075,89776,2021-12-14 16:26:13,0,0,0,0,0,0,0,0,0,0
26305,3794095,89776,2021-12-14 16:27:13,0,0,0,0,0,0,0,0,0,0
26306,3794115,89776,2021-12-14 16:28:13,0,0,0,0,0,0,0,0,0,0
26307,3794135,89776,2021-12-14 16:29:13,0,0,0,0,0,0,0,0,0,0
26308,3794155,89776,2021-12-14 16:30:13,0,0,0,0,0,0,0,0,0,0
26309,3794175,89776,2021-12-14 16:31:13,0,0,0,0,0,0,0,0,0,0
26310,3794195,89776,2021-12-14 16:32:13,0,0,0,0,0,0,0,0,0,0
26311,3794215,89776,2021-12-14 16:33:13,0,0,0,0,0,0,0,0,0,0
26312,3794235,89776,2021-12-14 16:34:13,0,0,0,0,0,0,0,0,0,0
26313,3794255,89776,2021-12-14 16:35:13,0,0,0,0,0,0,0,0,0,0
