id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3
7287799,74702,2022-05-04T10:31:00.000Z,2613,115,1457,64
7287825,74702,2022-05-04T10:32:04.000Z,0,0,0,0
7287941,74702,2022-05-04T10:36:02.000Z,0,0,0,0
7287973,74702,2022-05-04T10:37:02.000Z,0,0,0,0
7288005,74702,2022-05-04T10:38:02.000Z,0,0,0,0
7288037,74702,2022-05-04T10:39:02.000Z,0,0,0,0
7288069,74702,2022-05-04T10:40:02.000Z,0,0,0,0
7288101,74702,2022-05-04T10:41:02.000Z,0,0,0,0
7288171,74702,2022-05-04T10:43:35.000Z,0,0,0,0
7288203,74702,2022-05-04T10:44:30.000Z,0,0,0,0
7288235,74702,2022-05-04T10:45:30.000Z,0,0,0,0
7288267,74702,2022-05-04T10:46:30.000Z,0,0,0,0
7288299,74702,2022-05-04T10:47:30.000Z,0,0,0,0
7288331,74702,2022-05-04T10:48:30.000Z,0,0,0,0
7288363,74702,2022-05-04T10:49:40.000Z,0,0,0,0
7288395,74702,2022-05-04T10:50:40.000Z,0,0,0,0
7288427,74702,2022-05-04T10:51:40.000Z,0,0,0,0
7288459,74702,2022-05-04T10:52:40.000Z,0,0,0,0
7288491,74702,2022-05-04T10:53:40.000Z,0,0,0,0
7288523,74702,2022-05-04T10:54:40.000Z,0,0,0,0
7288555,74702,2022-05-04T10:55:40.000Z,0,0,0,0
7288587,74702,2022-05-04T10:56:40.000Z,0,0,0,0
7288647,74702,2022-05-04T10:58:40.000Z,0,0,0,0
7288679,74702,2022-05-04T10:59:40.000Z,0,0,0,0
7288711,74702,2022-05-04T11:00:40.000Z,0,0,0,0
7288743,74702,2022-05-04T11:01:40.000Z,0,0,0,0
7288775,74702,2022-05-04T11:02:40.000Z,0,0,0,0
7288807,74702,2022-05-04T11:03:40.000Z,0,0,0,0
7288835,74702,2022-05-04T11:04:50.000Z,0,0,0,0
7288867,74702,2022-05-04T11:05:50.000Z,0,0,0,0
7288899,74702,2022-05-04T11:06:50.000Z,0,0,0,0
7288949,74702,2022-05-04T11:08:15.000Z,0,0,0,0
7288981,74702,2022-05-04T11:09:15.000Z,0,0,0,0
7289013,74702,2022-05-04T11:10:15.000Z,0,0,0,0
7289045,74702,2022-05-04T11:11:15.000Z,0,0,0,0
7289077,74702,2022-05-04T11:12:15.000Z,0,0,0,0
7289109,74702,2022-05-04T11:13:15.000Z,0,0,0,0
7289141,74702,2022-05-04T11:14:15.000Z,0,0,0,0
7289173,74702,2022-05-04T11:15:15.000Z,0,0,0,0
7289205,74702,2022-05-04T11:16:15.000Z,0,0,0,0
7289237,74702,2022-05-04T11:17:15.000Z,0,0,0,0
7289269,74702,2022-05-04T11:18:15.000Z,0,0,0,0
7289301,74702,2022-05-04T11:19:15.000Z,0,0,0,0
7289333,74702,2022-05-04T11:20:15.000Z,0,0,0,0
7289365,74702,2022-05-04T11:21:15.000Z,0,0,0,0
7289397,74702,2022-05-04T11:22:15.000Z,0,0,0,0
7289429,74702,2022-05-04T11:23:15.000Z,0,0,0,0
7289461,74702,2022-05-04T11:24:15.000Z,0,0,0,0
7289493,74702,2022-05-04T11:25:15.000Z,0,0,0,0
7289525,74702,2022-05-04T11:26:15.000Z,0,0,0,0
7289585,74702,2022-05-04T11:28:15.000Z,0,0,0,0
7289617,74702,2022-05-04T11:29:15.000Z,0,0,0,0
7289649,74702,2022-05-04T11:30:15.000Z,0,0,0,0
7289681,74702,2022-05-04T11:31:15.000Z,0,0,0,0
7289741,74702,2022-05-04T11:33:16.000Z,0,0,0,0
7289773,74702,2022-05-04T11:34:15.000Z,0,0,0,0
7289805,74702,2022-05-04T11:35:15.000Z,0,0,0,0
7289837,74702,2022-05-04T11:36:15.000Z,0,0,0,0
7289869,74702,2022-05-04T11:37:15.000Z,0,0,0,0
7289901,74702,2022-05-04T11:38:19.000Z,0,0,0,0
7289933,74702,2022-05-04T11:39:15.000Z,0,0,0,0
7289965,74702,2022-05-04T11:40:15.000Z,0,0,0,0
7289997,74702,2022-05-04T11:41:20.000Z,0,0,0,0
7290029,74702,2022-05-04T11:42:19.000Z,0,0,0,0
7290061,74702,2022-05-04T11:43:15.000Z,0,0,0,0
7290121,74702,2022-05-04T11:45:21.000Z,0,0,0,0
7290163,74702,2022-05-04T11:46:33.000Z,0,0,0,0
7290195,74702,2022-05-04T11:47:43.000Z,0,0,0,0
7290227,74702,2022-05-04T11:48:33.000Z,0,0,0,0
7290271,74702,2022-05-04T11:49:57.000Z,0,0,0,0
7290291,74702,2022-05-04T11:50:53.000Z,0,0,0,0
7290323,74702,2022-05-04T11:51:53.000Z,0,0,0,0
7290355,74702,2022-05-04T11:52:53.000Z,0,0,0,0
7290387,74702,2022-05-04T11:53:53.000Z,0,0,0,0
7290447,74702,2022-05-04T11:55:53.000Z,0,0,0,0
7290519,74702,2022-05-04T11:57:58.000Z,0,0,0,0
7290551,74702,2022-05-04T11:58:58.000Z,0,0,0,0
7290583,74702,2022-05-04T12:00:09.000Z,0,0,0,0
7290659,74702,2022-05-04T12:02:39.000Z,0,0,0,0
7290691,74702,2022-05-04T12:03:39.000Z,0,0,0,0
7290723,74702,2022-05-04T12:04:39.000Z,0,0,0,0
7290767,74702,2022-05-04T12:05:59.000Z,0,0,0,0
7290799,74702,2022-05-04T12:06:59.000Z,0,0,0,0
7290831,74702,2022-05-04T12:07:59.000Z,0,0,0,0
7290891,74702,2022-05-04T12:09:59.000Z,0,0,0,0
7290923,74702,2022-05-04T12:10:59.000Z,0,0,0,0
7290955,74702,2022-05-04T12:11:59.000Z,0,0,0,0
7290987,74702,2022-05-04T12:13:01.000Z,0,0,0,0
7291019,74702,2022-05-04T12:14:01.000Z,0,0,0,0
7291051,74702,2022-05-04T12:15:01.000Z,0,0,0,0
7291083,74702,2022-05-04T12:16:01.000Z,0,0,0,0
7291115,74702,2022-05-04T12:17:01.000Z,0,0,0,0
7291147,74702,2022-05-04T12:18:01.000Z,0,0,0,0
7291179,74702,2022-05-04T12:19:01.000Z,517,31,100,5
7291221,74702,2022-05-04T12:20:26.000Z,0,0,0,0
7291253,74702,2022-05-04T12:21:26.000Z,0,0,0,0
7291285,74702,2022-05-04T12:22:26.000Z,0,0,0,0
7291317,74702,2022-05-04T12:23:26.000Z,0,0,0,0
7291349,74702,2022-05-04T12:24:30.000Z,0,0,0,0
7291381,74702,2022-05-04T12:25:26.000Z,0,0,0,0
7291475,74702,2022-05-04T12:28:32.000Z,0,0,0,0
7291507,74702,2022-05-04T12:29:32.000Z,0,0,0,0
7291557,74702,2022-05-04T12:31:17.000Z,0,0,0,0
7291589,74702,2022-05-04T12:32:17.000Z,0,0,0,0
7291621,74702,2022-05-04T12:33:17.000Z,0,0,0,0
7291653,74702,2022-05-04T12:34:17.000Z,0,0,0,0
7291685,74702,2022-05-04T12:35:17.000Z,0,0,0,0
7291717,74702,2022-05-04T12:36:17.000Z,0,0,0,0
7291749,74702,2022-05-04T12:37:17.000Z,0,0,0,0
7291781,74702,2022-05-04T12:38:17.000Z,0,0,0,0
7291813,74702,2022-05-04T12:39:17.000Z,0,0,0,0
7291845,74702,2022-05-04T12:40:17.000Z,0,0,0,0
7291877,74702,2022-05-04T12:41:17.000Z,0,0,0,0
7291909,74702,2022-05-04T12:42:17.000Z,0,0,0,0
7291941,74702,2022-05-04T12:43:17.000Z,0,0,0,0
7291973,74702,2022-05-04T12:44:17.000Z,0,0,0,0
7292005,74702,2022-05-04T12:45:17.000Z,0,0,0,0
7292037,74702,2022-05-04T12:46:17.000Z,0,0,0,0
7292069,74702,2022-05-04T12:47:17.000Z,0,0,0,0
7292101,74702,2022-05-04T12:48:17.000Z,0,0,0,0
7292133,74702,2022-05-04T12:49:17.000Z,0,0,0,0
7292165,74702,2022-05-04T12:50:17.000Z,0,0,0,0
7292197,74702,2022-05-04T12:51:17.000Z,0,0,0,0
7292229,74702,2022-05-04T12:52:17.000Z,0,0,0,0
7292261,74702,2022-05-04T12:53:17.000Z,0,0,0,0
7292293,74702,2022-05-04T12:54:17.000Z,0,0,0,0
7292325,74702,2022-05-04T12:55:17.000Z,0,0,0,0
7292357,74702,2022-05-04T12:56:17.000Z,0,0,0,0
7292389,74702,2022-05-04T12:57:17.000Z,0,0,0,0
7292421,74702,2022-05-04T12:58:17.000Z,0,0,0,0
7292453,74702,2022-05-04T12:59:17.000Z,0,0,0,0
7292485,74702,2022-05-04T13:00:19.000Z,0,0,0,0
7292517,74702,2022-05-04T13:01:17.000Z,0,0,0,0
7292549,74702,2022-05-04T13:02:17.000Z,0,0,0,0
7292581,74702,2022-05-04T13:03:21.000Z,0,0,0,0
7292613,74702,2022-05-04T13:04:17.000Z,0,0,0,0
7292645,74702,2022-05-04T13:05:17.000Z,0,0,0,0
7292677,74702,2022-05-04T13:06:17.000Z,0,0,0,0
7292709,74702,2022-05-04T13:07:17.000Z,0,0,0,0
7292741,74702,2022-05-04T13:08:19.000Z,0,0,0,0
7292773,74702,2022-05-04T13:09:17.000Z,0,0,0,0
7292805,74702,2022-05-04T13:10:17.000Z,0,0,0,0
7292837,74702,2022-05-04T13:11:17.000Z,0,0,0,0
7292897,74702,2022-05-04T13:13:17.000Z,0,0,0,0
7292929,74702,2022-05-04T13:14:17.000Z,0,0,0,0
7292961,74702,2022-05-04T13:15:17.000Z,0,0,0,0
7292993,74702,2022-05-04T13:16:17.000Z,0,0,0,0
7293025,74702,2022-05-04T13:17:17.000Z,0,0,0,0
7293057,74702,2022-05-04T13:18:17.000Z,0,0,0,0
7293089,74702,2022-05-04T13:19:17.000Z,0,0,0,0
7293121,74702,2022-05-04T13:20:17.000Z,0,0,0,0
7293163,74702,2022-05-04T13:21:43.000Z,0,0,0,0
7293195,74702,2022-05-04T13:22:43.000Z,0,0,0,0
7293227,74702,2022-05-04T13:23:43.000Z,0,0,0,0
7293259,74702,2022-05-04T13:24:44.000Z,0,0,0,0
7293303,74702,2022-05-04T13:26:03.000Z,4617,207,0,0
7293335,74702,2022-05-04T13:27:03.000Z,0,0,0,0
7293367,74702,2022-05-04T13:28:04.000Z,0,0,0,0
7293399,74702,2022-05-04T13:29:03.000Z,0,0,0,0
7293431,74702,2022-05-04T13:30:03.000Z,0,0,0,0
7293463,74702,2022-05-04T13:31:03.000Z,0,0,0,0
7293495,74702,2022-05-04T13:32:03.000Z,0,0,0,0
7293527,74702,2022-05-04T13:33:03.000Z,0,0,0,0
7293559,74702,2022-05-04T13:34:03.000Z,0,0,0,0
7293591,74702,2022-05-04T13:35:03.000Z,0,0,0,0
7293623,74702,2022-05-04T13:36:03.000Z,0,0,0,0
7293655,74702,2022-05-04T13:37:03.000Z,0,0,0,0
7293687,74702,2022-05-04T13:38:03.000Z,0,0,0,0
7293719,74702,2022-05-04T13:39:03.000Z,0,0,0,0
7293751,74702,2022-05-04T13:40:03.000Z,0,0,0,0
7293783,74702,2022-05-04T13:41:03.000Z,0,0,0,0
7293815,74702,2022-05-04T13:42:03.000Z,0,0,0,0
7293847,74702,2022-05-04T13:43:03.000Z,0,0,0,0
7293879,74702,2022-05-04T13:44:03.000Z,0,0,0,0
7293911,74702,2022-05-04T13:45:03.000Z,0,0,0,0
7293943,74702,2022-05-04T13:46:03.000Z,0,0,0,0
7293975,74702,2022-05-04T13:47:03.000Z,0,0,0,0
7294007,74702,2022-05-04T13:48:03.000Z,0,0,0,0
7294039,74702,2022-05-04T13:49:03.000Z,0,0,0,0
7294071,74702,2022-05-04T13:50:03.000Z,0,0,0,0
7294103,74702,2022-05-04T13:51:03.000Z,0,0,0,0
7294135,74702,2022-05-04T13:52:03.000Z,0,0,0,0
7294167,74702,2022-05-04T13:53:03.000Z,0,0,0,0
