id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
3638933,89776,2021-12-10T12:00:55.000Z,0,0,0,0,0,0,0,0,0,0
3638959,89776,2021-12-10T12:01:55.000Z,0,0,0,0,0,0,0,0,0,0
3638985,89776,2021-12-10T12:02:55.000Z,0,0,0,0,0,0,0,0,0,0
3639011,89776,2021-12-10T12:03:55.000Z,0,0,0,0,0,0,0,0,0,0
3639037,89776,2021-12-10T12:04:55.000Z,0,0,0,0,0,0,0,0,0,0
3639063,89776,2021-12-10T12:05:55.000Z,0,0,0,0,0,0,0,0,0,0
3639089,89776,2021-12-10T12:06:55.000Z,0,0,0,0,0,0,0,0,0,0
3639115,89776,2021-12-10T12:07:55.000Z,0,0,0,0,0,0,0,0,0,0
3639141,89776,2021-12-10T12:08:55.000Z,0,0,0,0,0,0,0,0,0,0
3639167,89776,2021-12-10T12:09:55.000Z,0,0,0,0,0,0,0,0,0,0
3639193,89776,2021-12-10T12:10:55.000Z,0,0,0,0,0,0,0,0,0,0
3639219,89776,2021-12-10T12:11:55.000Z,0,0,0,0,0,0,0,0,0,0
3639245,89776,2021-12-10T12:12:55.000Z,0,0,0,0,0,0,0,0,0,0
3639271,89776,2021-12-10T12:13:55.000Z,0,0,0,0,0,0,0,0,0,0
3639297,89776,2021-12-10T12:14:55.000Z,0,0,0,0,0,0,0,0,0,0
3639323,89776,2021-12-10T12:15:55.000Z,0,0,0,0,0,0,0,0,0,0
3639349,89776,2021-12-10T12:16:55.000Z,0,0,0,0,0,0,0,0,0,0
3639375,89776,2021-12-10T12:17:55.000Z,0,0,0,0,0,0,0,0,0,0
3639401,89776,2021-12-10T12:18:55.000Z,0,0,0,0,0,0,0,0,0,0
3639427,89776,2021-12-10T12:19:55.000Z,0,0,0,0,0,0,0,0,0,0
3639453,89776,2021-12-10T12:20:55.000Z,0,0,0,0,0,0,0,0,0,0
3639479,89776,2021-12-10T12:21:55.000Z,0,0,0,0,0,0,0,0,0,0
3639505,89776,2021-12-10T12:22:55.000Z,0,0,0,0,0,0,0,0,0,0
3639531,89776,2021-12-10T12:23:55.000Z,0,0,0,0,0,0,0,0,0,0
3639557,89776,2021-12-10T12:24:55.000Z,0,0,0,0,0,0,0,0,0,0
3639583,89776,2021-12-10T12:25:55.000Z,0,0,0,0,0,0,0,0,0,0
3639609,89776,2021-12-10T12:26:55.000Z,0,0,0,0,0,0,0,0,0,0
3639635,89776,2021-12-10T12:27:55.000Z,0,0,0,0,0,0,0,0,0,0
3639661,89776,2021-12-10T12:28:55.000Z,0,0,0,0,0,0,0,0,0,0
3639687,89776,2021-12-10T12:29:55.000Z,0,0,0,0,0,0,0,0,0,0
3639713,89776,2021-12-10T12:30:55.000Z,0,0,0,0,0,0,0,0,0,0
3639739,89776,2021-12-10T12:31:55.000Z,0,0,0,0,0,0,0,0,0,0
3639765,89776,2021-12-10T12:32:55.000Z,0,0,0,0,0,0,0,0,0,0
3639791,89776,2021-12-10T12:33:55.000Z,0,0,0,0,0,0,0,0,0,0
3639817,89776,2021-12-10T12:34:55.000Z,0,0,0,0,0,0,0,0,0,0
3639843,89776,2021-12-10T12:35:55.000Z,0,0,0,0,0,0,0,0,0,0
3639869,89776,2021-12-10T12:36:55.000Z,0,0,0,0,0,0,0,0,0,0
3639895,89776,2021-12-10T12:37:55.000Z,0,0,0,0,0,0,0,0,0,0
3639921,89776,2021-12-10T12:38:55.000Z,0,0,0,0,0,0,0,0,0,0
3639947,89776,2021-12-10T12:39:55.000Z,0,0,0,0,0,0,0,0,0,0
3639973,89776,2021-12-10T12:40:55.000Z,0,0,0,0,0,0,0,0,0,0
3639999,89776,2021-12-10T12:41:55.000Z,0,0,0,0,0,0,0,0,0,0
3640025,89776,2021-12-10T12:42:55.000Z,0,0,0,0,0,0,0,0,0,0
3640051,89776,2021-12-10T12:43:55.000Z,0,0,0,0,0,0,0,0,0,0
3640077,89776,2021-12-10T12:44:55.000Z,0,0,0,0,0,0,0,0,0,0
3640103,89776,2021-12-10T12:45:55.000Z,0,0,0,0,0,0,0,0,0,0
3640129,89776,2021-12-10T12:46:55.000Z,0,0,0,0,0,0,0,0,0,0
3640155,89776,2021-12-10T12:47:55.000Z,0,0,0,0,0,0,0,0,0,0
3640181,89776,2021-12-10T12:48:55.000Z,0,0,0,0,0,0,0,0,0,0
3640207,89776,2021-12-10T12:49:55.000Z,0,0,0,0,0,0,0,0,0,0
3640233,89776,2021-12-10T12:50:55.000Z,0,0,0,0,0,0,0,0,0,0
3640259,89776,2021-12-10T12:51:55.000Z,0,0,0,0,0,0,0,0,0,0
3640285,89776,2021-12-10T12:52:55.000Z,0,0,0,0,0,0,0,0,0,0
3640311,89776,2021-12-10T12:53:55.000Z,0,0,0,0,0,0,0,0,0,0
3640337,89776,2021-12-10T12:54:55.000Z,0,0,0,0,0,0,0,0,0,0
3640363,89776,2021-12-10T12:55:55.000Z,0,0,0,0,0,0,0,0,0,0
3640389,89776,2021-12-10T12:56:55.000Z,0,0,0,0,0,0,0,0,0,0
3640415,89776,2021-12-10T12:57:55.000Z,0,0,0,0,0,0,0,0,0,0
3640441,89776,2021-12-10T12:58:55.000Z,0,0,0,0,0,0,0,0,0,0
3640467,89776,2021-12-10T12:59:55.000Z,0,0,0,0,0,0,0,0,0,0
3640493,89776,2021-12-10T13:00:55.000Z,0,0,0,0,0,0,0,0,0,0
3640519,89776,2021-12-10T13:01:55.000Z,0,0,0,0,0,0,0,0,0,0
3640545,89776,2021-12-10T13:02:55.000Z,0,0,0,0,0,0,0,0,0,0
3640571,89776,2021-12-10T13:03:55.000Z,0,0,0,0,0,0,0,0,0,0
