Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons
201202,78613,Multi-Family,20700
201202,78617,Multi-Family,2164200
201202,78617,Residential,17532100
201202,78652,Multi-Family,14100
201202,78652,Residential,585400
201202,78652,Irrigation - Residential,42200
201202,78653,Residential,1599900
201202,78653,Multi-Family,145400
201202,78660,Residential,6382900
201202,78660,Multi-Family,2745200
201202,78701,Residential,819600
201202,78701,Irrigation - Multi-Family,89300
201202,78701,Multi-Family,11508200
201202,78702,Irrigation - Multi-Family,492200
201202,78702,Irrigation - Residential,6300
201202,78702,Residential,23851800
201202,78702,Multi-Family,7785100
201202,78703,Irrigation - Residential,654000
201202,78703,Multi-Family,12749600
201202,78703,Irrigation - Multi-Family,312500
201202,78703,Residential,37295800
201202,78704,Residential,36101000
201202,78704,Irrigation - Multi-Family,761700
201202,78704,Irrigation - Residential,101400
201202,78704,Multi-Family,43075000
201202,78705,Multi-Family,28814200
201202,78705,Residential,8106400
201202,78705,Irrigation - Residential,48700
201202,78705,Irrigation - Multi-Family,313000
201202,78717,Residential,19562600
201202,78717,Multi-Family,6778400
201202,78717,Irrigation - Multi-Family,1186400
201202,78717,Irrigation - Residential,
201202,78719,Residential,1562400
201202,78719,Multi-Family,584700
201202,78721,Multi-Family,3827800
201202,78721,Residential,13096000
201202,78721,Irrigation - Multi-Family,
201202,78721,Irrigation - Residential,900
201202,78722,Residential,7252700
201202,78722,Irrigation - Multi-Family,42600
201202,78722,Multi-Family,2589900
201202,78723,Multi-Family,19001300
201202,78723,Residential,29387600
201202,78723,Irrigation - Multi-Family,151300
201202,78724,Irrigation - Multi-Family,327200
201202,78724,Residential,16930900
201202,78724,Multi-Family,9483000
201202,78724,Irrigation - Residential,17900
201202,78725,Residential,1816000
201202,78725,Multi-Family,246000
201202,78725,Irrigation - Multi-Family,
201202,78726,Irrigation - Multi-Family,2313800
201202,78726,Multi-Family,11423300
201202,78726,Residential,11319000
201202,78726,Irrigation - Residential,1700
201202,78727,Residential,30462300
201202,78727,Irrigation - Multi-Family,1942100
201202,78727,Irrigation - Residential,1600
201202,78727,Multi-Family,19808300
201202,78728,Multi-Family,6345400
201202,78728,Residential,3114100
201202,78728,Irrigation - Multi-Family,187900
201202,78729,Residential,17513400
201202,78729,Multi-Family,20504100
201202,78729,Irrigation - Multi-Family,1186500
201202,78729,Irrigation - Residential,3000
201202,78730,Irrigation - Multi-Family,458300
201202,78730,Irrigation - Residential,163700
201202,78730,Multi-Family,3887100
201202,78730,Residential,4247700
201202,78731,Irrigation - Residential,201800
201202,78731,Irrigation - Multi-Family,529500
201202,78731,Residential,42077900
201202,78731,Multi-Family,17341000
201202,78732,Residential,7400
201202,78733,Residential,20800
201202,78735,Multi-Family,8649700
201202,78735,Irrigation - Multi-Family,524000
201202,78735,Residential,13628400
201202,78736,Residential,9655500
201202,78736,Irrigation - Multi-Family,130800
201202,78736,Irrigation - Residential,3800
201202,78736,Multi-Family,1881300
201202,78737,Irrigation - Residential,2700
201202,78737,Residential,3935600
201202,78738,Residential,6300
201202,78739,Residential,28646300
201202,78739,Irrigation - Residential,
201202,78741,Irrigation - Residential,3700
201202,78741,Residential,16956200
201202,78741,Irrigation - Multi-Family,1612400
201202,78741,Multi-Family,73949800
201202,78742,Residential,510900
201202,78742,Multi-Family,2840700
201202,78744,Irrigation - Residential,600
201202,78744,Multi-Family,25653800
201202,78744,Irrigation - Multi-Family,221200
201202,78744,Residential,45512500
201202,78745,Irrigation - Multi-Family,1679400
201202,78745,Multi-Family,27473000
201202,78745,Irrigation - Residential,13400
201202,78745,Residential,63666200
201202,78746,Irrigation - Multi-Family,235100
201202,78746,Irrigation - Residential,181000
201202,78746,Multi-Family,10923900
201202,78746,Residential,21352400
201202,78747,Irrigation - Residential,71600
201202,78747,Irrigation - Multi-Family,186400
201202,78747,Multi-Family,5608000
201202,78747,Residential,18241100
201202,78748,Irrigation - Multi-Family,2546700
201202,78748,Residential,54719100
201202,78748,Irrigation - Residential,
201202,78748,Multi-Family,14170300
201202,78749,Residential,46911500
201202,78749,Irrigation - Residential,1300
201202,78749,Multi-Family,13997100
201202,78749,Irrigation - Multi-Family,3005300
201202,78750,Irrigation - Residential,
201202,78750,Irrigation - Multi-Family,432000
201202,78750,Residential,36926400
201202,78750,Multi-Family,12238500
201202,78751,Residential,13825200
201202,78751,Multi-Family,12466800
201202,78751,Irrigation - Residential,51600
201202,78751,Irrigation - Multi-Family,248800
201202,78752,Residential,11475100
201202,78752,Irrigation - Multi-Family,49200
201202,78752,Multi-Family,17356700
201202,78753,Multi-Family,39847000
201202,78753,Irrigation - Multi-Family,1936300
201202,78753,Irrigation - Residential,
201202,78753,Residential,34002100
201202,78754,Multi-Family,12430300
201202,78754,Residential,15076500
201202,78754,Irrigation - Residential,
201202,78754,Irrigation - Multi-Family,899400
201202,78756,Irrigation - Residential,11000
201202,78756,Irrigation - Multi-Family,83300
201202,78756,Multi-Family,6432100
201202,78756,Residential,9053000
201202,78757,Irrigation - Multi-Family,22200
201202,78757,Irrigation - Residential,56200
201202,78757,Multi-Family,12727700
201202,78757,Residential,26438300
201202,78758,Irrigation - Multi-Family,778900
201202,78758,Residential,35231100
201202,78758,Irrigation - Residential,300
201202,78758,Multi-Family,43494300
201202,78759,Irrigation - Residential,21100
201202,78759,Residential,46080100
201202,78759,Irrigation - Multi-Family,456900
201202,78759,Multi-Family,29771700
201203,78613,Multi-Family,46300
201203,78613,Irrigation - Multi-Family,13000
201203,78617,Multi-Family,2181600
201203,78617,Residential,17901100
201203,78652,Residential,696200
201203,78652,Irrigation - Residential,19700
201203,78652,Multi-Family,21100
201203,78653,Multi-Family,128400
201203,78653,Residential,1741200
201203,78660,Multi-Family,3795600
201203,78660,Residential,7010900
201203,78660,Irrigation - Residential,5900
201203,78701,Residential,1014400
201203,78701,Irrigation - Multi-Family,124500
201203,78701,Multi-Family,12171800
201203,78702,Irrigation - Multi-Family,328500
201203,78702,Irrigation - Residential,27000
201203,78702,Residential,26534300
201203,78702,Multi-Family,8932600
201203,78703,Irrigation - Multi-Family,228200
201203,78703,Multi-Family,14006400
201203,78703,Residential,39369600
201203,78703,Irrigation - Residential,649100
201203,78704,Multi-Family,46078600
201203,78704,Residential,40437200
201203,78704,Irrigation - Multi-Family,796100
201203,78704,Irrigation - Residential,134500
201203,78705,Residential,8654600
201203,78705,Irrigation - Residential,38900
201203,78705,Multi-Family,32697100
201203,78705,Irrigation - Multi-Family,339300
201203,78717,Multi-Family,6778800
201203,78717,Residential,24170500
201203,78717,Irrigation - Residential,
201203,78717,Irrigation - Multi-Family,1199700
201203,78719,Multi-Family,553800
201203,78719,Residential,1448200
201203,78721,Irrigation - Residential,300
201203,78721,Irrigation - Multi-Family,
201203,78721,Residential,14854000
201203,78721,Multi-Family,4758600
201203,78722,Irrigation - Multi-Family,84000
201203,78722,Multi-Family,2975600
201203,78722,Residential,7870300
201203,78723,Multi-Family,19841200
201203,78723,Irrigation - Multi-Family,160300
201203,78723,Residential,31007900
201203,78724,Irrigation - Multi-Family,195500
201203,78724,Irrigation - Residential,20300
201203,78724,Multi-Family,14170000
201203,78724,Residential,19609400
201203,78725,Residential,1988100
201203,78725,Multi-Family,273700
201203,78726,Irrigation - Multi-Family,1924000
201203,78726,Multi-Family,11131400
201203,78726,Residential,12407400
201203,78726,Irrigation - Residential,1000
201203,78727,Residential,32993500
201203,78727,Multi-Family,21012400
201203,78727,Irrigation - Residential,800
201203,78727,Irrigation - Multi-Family,2812500
201203,78728,Irrigation - Multi-Family,125800
201203,78728,Residential,3763200
201203,78728,Multi-Family,7288600
201203,78729,Irrigation - Residential,1300
201203,78729,Multi-Family,21927100
201203,78729,Residential,18607800
201203,78729,Irrigation - Multi-Family,1296300
201203,78730,Residential,4234700
201203,78730,Multi-Family,4232300
201203,78730,Irrigation - Multi-Family,485100
201203,78730,Irrigation - Residential,173600
201203,78731,Residential,46878200
201203,78731,Multi-Family,19454100
201203,78731,Irrigation - Multi-Family,447700
201203,78731,Irrigation - Residential,161000
201203,78732,Residential,4600
201203,78733,Residential,18200
201203,78735,Residential,14893000
201203,78735,Multi-Family,9733400
201203,78735,Irrigation - Multi-Family,887800
201203,78736,Irrigation - Residential,5100
201203,78736,Residential,10109900
201203,78736,Multi-Family,2024800
201203,78736,Irrigation - Multi-Family,161300
201203,78737,Residential,4276600
201203,78737,Irrigation - Residential,3700
201203,78738,Residential,8200
201203,78739,Residential,29994600
201203,78739,Irrigation - Residential,
201203,78741,Irrigation - Residential,13900
201203,78741,Multi-Family,80321000
201203,78741,Irrigation - Multi-Family,1578800
201203,78741,Residential,17558343
201203,78742,Multi-Family,1680800
201203,78742,Residential,501700
201203,78744,Irrigation - Multi-Family,220000
201203,78744,Residential,49252000
201203,78744,Irrigation - Residential,500
201203,78744,Multi-Family,22950200
201203,78745,Irrigation - Residential,22300
201203,78745,Irrigation - Multi-Family,1821500
201203,78745,Residential,70852300
201203,78745,Multi-Family,31063400
201203,78746,Irrigation - Residential,197700
201203,78746,Irrigation - Multi-Family,365700
201203,78746,Multi-Family,11951600
201203,78746,Residential,23132600
201203,78747,Irrigation - Residential,74600
201203,78747,Residential,19491700
201203,78747,Irrigation - Multi-Family,121700
201203,78747,Multi-Family,6615300
201203,78748,Irrigation - Residential,6000
201203,78748,Multi-Family,14166100
201203,78748,Residential,57795500
201203,78748,Irrigation - Multi-Family,1935200
201203,78749,Irrigation - Multi-Family,3717400
201203,78749,Residential,53199200
201203,78749,Irrigation - Residential,1300
201203,78749,Multi-Family,17588100
201203,78750,Residential,39764200
201203,78750,Irrigation - Residential,
201203,78750,Irrigation - Multi-Family,556300
201203,78750,Multi-Family,13470100
201203,78751,Irrigation - Multi-Family,249000
201203,78751,Multi-Family,13183600
201203,78751,Irrigation - Residential,42200
201203,78751,Residential,14879000
201203,78752,Irrigation - Multi-Family,52900
201203,78752,Multi-Family,18839300
201203,78752,Residential,11916600
201203,78753,Multi-Family,43224900
201203,78753,Irrigation - Residential,
201203,78753,Residential,39024200
201203,78753,Irrigation - Multi-Family,2237200
201203,78754,Multi-Family,13797100
201203,78754,Residential,17006300
201203,78754,Irrigation - Residential,
201203,78754,Irrigation - Multi-Family,909700
201203,78756,Multi-Family,6668700
201203,78756,Irrigation - Residential,2100
201203,78756,Residential,9627500
