Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons
201307,78717,Multi-Family,7410300
201307,78717,Residential,53166300
201307,78717,Irrigation - Multi-Family,6520300
201307,78719,Multi-Family,633000
201307,78719,Residential,1984000
201307,78721,Residential,18779100
201307,78721,Irrigation - Residential,8200
201307,78721,Irrigation - Multi-Family,285600
201307,78721,Multi-Family,5388500
201307,78722,Residential,12303900
201307,78722,Multi-Family,2537400
201307,78722,Irrigation - Multi-Family,265300
201307,78723,Irrigation - Multi-Family,295100
201307,78723,Multi-Family,22550500
201307,78723,Residential,46897300
201307,78724,Irrigation - Multi-Family,468700
201307,78724,Irrigation - Residential,48000
201307,78724,Residential,25504000
201307,78724,Multi-Family,12906800
201307,78725,Residential,3239200
201307,78725,Multi-Family,238500
201307,78726,Irrigation - Multi-Family,7153200
201307,78726,Residential,27110900
201307,78726,Irrigation - Residential,102800
201307,78726,Multi-Family,11719500
201307,78727,Irrigation - Residential,17600
201307,78727,Irrigation - Multi-Family,8026300
201307,78727,Multi-Family,21839400
201307,78727,Residential,56491800
201307,78728,Irrigation - Multi-Family,1764300
201307,78728,Residential,5859700
201307,78728,Multi-Family,8499800
201307,78729,Irrigation - Residential,19000
201307,78729,Irrigation - Multi-Family,3536800
201307,78729,Multi-Family,24034400
201307,78729,Residential,32280900
201307,78730,Irrigation - Residential,213100
201307,78730,Multi-Family,4775900
201307,78730,Irrigation - Multi-Family,682300
201307,78730,Residential,21473500
201307,78731,Multi-Family,19937200
201307,78731,Irrigation - Multi-Family,1099700
201307,78731,Residential,96886800
201307,78731,Irrigation - Residential,802500
201307,78732,Residential,7400
201307,78733,Residential,56900
201307,78735,Multi-Family,11265600
201307,78735,Irrigation - Multi-Family,3786800
201307,78735,Residential,38995800
201307,78736,Residential,22092000
201307,78736,Irrigation - Multi-Family,474100
201307,78736,Irrigation - Residential,22700
201307,78736,Multi-Family,2253600
201307,78737,Residential,13836100
201307,78737,Irrigation - Residential,18300
201307,78738,Residential,8100
201307,78739,Residential,73494400
201307,78739,Irrigation - Residential,100
201307,78741,Irrigation - Residential,50600
201307,78741,Multi-Family,85226000
201307,78741,Irrigation - Multi-Family,3281600
201307,78741,Residential,22708800
201307,78742,Residential,755500
201307,78742,Multi-Family,887300
201307,78744,Irrigation - Multi-Family,1528400
201307,78744,Residential,58110000
201307,78744,Irrigation - Residential,2600
201307,78744,Multi-Family,26525800
201307,78745,Residential,108179100
201307,78745,Irrigation - Multi-Family,4037500
201307,78745,Irrigation - Residential,108500
201307,78745,Multi-Family,31591000
201307,78746,Irrigation - Residential,725800
201307,78746,Residential,55773300
201307,78746,Irrigation - Multi-Family,1247200
201307,78746,Multi-Family,13143300
201307,78747,Multi-Family,7909900
201307,78747,Residential,36143800
201307,78747,Irrigation - Residential,
201307,78747,Irrigation - Multi-Family,1540400
201307,78748,Irrigation - Multi-Family,9658300
201307,78748,Irrigation - Residential,35700
201307,78748,Residential,104664100
201307,78748,Multi-Family,16471500
201307,78749,Irrigation - Multi-Family,6505300
201307,78749,Irrigation - Residential,58300
201307,78749,Multi-Family,17767600
201307,78749,Residential,111922500
201307,78750,Irrigation - Multi-Family,2701700
201307,78750,Irrigation - Residential,26600
201307,78750,Multi-Family,16279600
201307,78750,Residential,83959800
201307,78751,Multi-Family,12471500
201307,78751,Irrigation - Multi-Family,562600
201307,78751,Residential,20005800
201307,78751,Irrigation - Residential,130500
201307,78752,Irrigation - Multi-Family,78300
201307,78752,Residential,16188700
201307,78752,Multi-Family,18540600
201307,78753,Irrigation - Multi-Family,6391700
201307,78753,Residential,57034900
201307,78753,Multi-Family,48705200
201307,78753,Irrigation - Residential,28400
201307,78754,Irrigation - Residential,5200
201307,78754,Residential,29048100
201307,78754,Irrigation - Multi-Family,2752400
201307,78754,Multi-Family,17015200
201307,78756,Irrigation - Residential,113900
201307,78756,Irrigation - Multi-Family,237500
201307,78756,Multi-Family,6767300
201307,78756,Residential,16422000
201307,78757,Irrigation - Residential,63800
201307,78757,Multi-Family,16076200
201307,78757,Residential,48532400
201307,78757,Irrigation - Multi-Family,539400
201307,78758,Irrigation - Residential,43400
201307,78758,Multi-Family,54691700
201307,78758,Irrigation - Multi-Family,4111900
201307,78758,Residential,52936500
201307,78759,Irrigation - Multi-Family,1551500
201307,78759,Irrigation - Residential,160800
201307,78759,Residential,104035800
201307,78759,Multi-Family,37551500
201308,78613,Multi-Family,261300
201308,78613,Irrigation - Multi-Family,75000
201308,78617,Irrigation - Residential,9100
201308,78617,Multi-Family,3670700
201308,78617,Residential,23487100
201308,78652,Irrigation - Residential,54800
201308,78652,Multi-Family,29500
201308,78652,Residential,986600
201308,78653,Multi-Family,454900
201308,78653,Residential,2337200
201308,78660,Irrigation - Residential,8500
201308,78660,Multi-Family,3473400
201308,78660,Residential,9999700
201308,78701,Multi-Family,13744000
201308,78701,Residential,1482200
201308,78701,Irrigation - Multi-Family,417700
201308,78702,Irrigation - Residential,24000
201308,78702,Irrigation - Multi-Family,1216900
201308,78702,Residential,31268100
201308,78702,Multi-Family,9865400
201308,78703,Multi-Family,14477200
201308,78703,Irrigation - Multi-Family,848000
201308,78703,Residential,78720000
201308,78703,Irrigation - Residential,1990300
201308,78704,Multi-Family,50287000
201308,78704,Irrigation - Multi-Family,3675600
201308,78704,Irrigation - Residential,242900
201308,78704,Residential,68233400
201308,78705,Multi-Family,30282300
201308,78705,Irrigation - Multi-Family,519300
201308,78705,Irrigation - Residential,146200
201308,78705,Residential,11664600
201308,78717,Irrigation - Residential,38600
201308,78717,Residential,51865800
201308,78717,Irrigation - Multi-Family,7347200
201308,78717,Multi-Family,8174900
201308,78719,Residential,2082400
201308,78719,Multi-Family,629000
201308,78721,Irrigation - Multi-Family,244800
201308,78721,Irrigation - Residential,7800
201308,78721,Multi-Family,5557700
201308,78721,Residential,17323100
201308,78722,Irrigation - Multi-Family,279900
201308,78722,Multi-Family,2979100
201308,78722,Residential,12285000
201308,78723,Irrigation - Multi-Family,358100
201308,78723,Multi-Family,23408600
201308,78723,Residential,46164500
201308,78724,Residential,23864800
201308,78724,Irrigation - Residential,127700
201308,78724,Multi-Family,13277900
201308,78724,Irrigation - Multi-Family,594900
201308,78725,Residential,2602500
201308,78725,Multi-Family,249700
201308,78726,Irrigation - Multi-Family,8023400
201308,78726,Residential,27354400
201308,78726,Irrigation - Residential,30300
201308,78726,Multi-Family,11875000
201308,78727,Irrigation - Residential,20600
201308,78727,Irrigation - Multi-Family,7296100
201308,78727,Multi-Family,22273200
201308,78727,Residential,57631500
201308,78728,Multi-Family,9510600
201308,78728,Irrigation - Multi-Family,1825900
201308,78728,Residential,6356200
201308,78729,Residential,34236900
201308,78729,Irrigation - Multi-Family,4574800
201308,78729,Irrigation - Residential,15900
201308,78729,Multi-Family,24687800
201308,78730,Multi-Family,4861800
201308,78730,Residential,22516200
201308,78730,Irrigation - Residential,269100
201308,78730,Irrigation - Multi-Family,1073100
201308,78731,Irrigation - Multi-Family,1664400
201308,78731,Residential,101504800
201308,78731,Irrigation - Residential,828700
201308,78731,Multi-Family,21021600
201308,78732,Residential,14700
201308,78733,Residential,57700
201308,78735,Multi-Family,12018700
201308,78735,Residential,36809700
201308,78735,Irrigation - Multi-Family,3387900
201308,78736,Irrigation - Residential,19800
201308,78736,Residential,19659100
201308,78736,Multi-Family,2326900
201308,78736,Irrigation - Multi-Family,502500
201308,78737,Residential,12189500
201308,78737,Irrigation - Residential,16000
201308,78738,Residential,6200
201308,78739,Irrigation - Residential,
201308,78739,Residential,79518500
201308,78741,Residential,23213700
201308,78741,Irrigation - Residential,51500
201308,78741,Multi-Family,88446300
201308,78741,Irrigation - Multi-Family,3014000
201308,78742,Residential,778100
201308,78742,Multi-Family,908200
201308,78744,Multi-Family,27818200
201308,78744,Residential,60955600
201308,78744,Irrigation - Multi-Family,2176800
201308,78744,Irrigation - Residential,3500
201308,78745,Residential,105068800
201308,78745,Irrigation - Multi-Family,3637500
201308,78745,Irrigation - Residential,83000
201308,78745,Multi-Family,34608700
201308,78746,Multi-Family,14762000
201308,78746,Irrigation - Residential,749300
201308,78746,Residential,57484900
201308,78746,Irrigation - Multi-Family,950500
201308,78747,Irrigation - Residential,
201308,78747,Multi-Family,8463400
201308,78747,Irrigation - Multi-Family,1451800
201308,78747,Residential,35657100
201308,78748,Irrigation - Multi-Family,10731500
201308,78748,Irrigation - Residential,34000
201308,78748,Multi-Family,19636600
201308,78748,Residential,98323100
201308,78749,Irrigation - Residential,38200
201308,78749,Residential,101252700
201308,78749,Irrigation - Multi-Family,7967500
201308,78749,Multi-Family,18156200
201308,78750,Irrigation - Residential,37600
201308,78750,Residential,88447200
201308,78750,Irrigation - Multi-Family,2908900
201308,78750,Multi-Family,16468300
201308,78751,Irrigation - Residential,123500
201308,78751,Residential,19750900
201308,78751,Multi-Family,12429400
201308,78751,Irrigation - Multi-Family,612200
201308,78752,Residential,15813600
201308,78752,Irrigation - Multi-Family,74600
201308,78752,Multi-Family,18958500
201308,78753,Multi-Family,48285700
201308,78753,Irrigation - Residential,10700
201308,78753,Residential,54960100
201308,78753,Irrigation - Multi-Family,6498800
201308,78754,Irrigation - Multi-Family,2624600
201308,78754,Residential,28207700
201308,78754,Multi-Family,17158300
201308,78754,Irrigation - Residential,1700
201308,78756,Residential,16152400
201308,78756,Irrigation - Multi-Family,153100
201308,78756,Multi-Family,6994000
201308,78756,Irrigation - Residential,100000
201308,78757,Irrigation - Multi-Family,676900
201308,78757,Residential,48561200
201308,78757,Multi-Family,16625100
201308,78757,Irrigation - Residential,71800
201308,78758,Irrigation - Multi-Family,4545800
201308,78758,Irrigation - Residential,52500
201308,78758,Multi-Family,58719300
201308,78758,Residential,54035700
201308,78759,Irrigation - Residential,157900
201308,78759,Multi-Family,39304800
201308,78759,Irrigation - Multi-Family,1630500
201308,78759,Residential,107714100
201309,78613,Multi-Family,155700
201309,78613,Irrigation - Multi-Family,75000
201309,78617,Multi-Family,3434700
201309,78617,Residential,22238000
201309,78617,Irrigation - Residential,4700
201309,78652,Multi-Family,13700
201309,78652,Residential,841900
201309,78652,Irrigation - Residential,44900
201309,78653,Multi-Family,553600
201309,78653,Residential,2443300
201309,78660,Multi-Family,3478300
201309,78660,Residential,10100000
201309,78660,Irrigation - Residential,8400
201309,78701,Residential,1673600
201309,78701,Irrigation - Multi-Family,541900
201309,78701,Multi-Family,13754900
201309,78702,Multi-Family,9330700
201309,78702,Irrigation - Multi-Family,1162000
201309,78702,Irrigation - Residential,50900
201309,78702,Residential,30885800
201309,78703,Irrigation - Multi-Family,909800
201309,78703,Irrigation - Residential,2046300
201309,78703,Multi-Family,15079900
201309,78703,Residential,84456900
201309,78704,Multi-Family,49536900
201309,78704,Irrigation - Residential,330100
201309,78704,Residential,66433700
201309,78704,Irrigation - Multi-Family,3718000
201309,78705,Irrigation - Multi-Family,566100
201309,78705,Multi-Family,35386000
201309,78705,Irrigation - Residential,179700
201309,78705,Residential,13667800
201309,78717,Multi-Family,8387900
201309,78717,Residential,52052500
201309,78717,Irrigation - Residential,54200
201309,78717,Irrigation - Multi-Family,8379400
201309,78719,Residential,2185700
201309,78719,Multi-Family,648900
201309,78721,Multi-Family,5094900
201309,78721,Residential,17007600
201309,78721,Irrigation - Residential,12900
201309,78721,Irrigation - Multi-Family,277800
201309,78722,Irrigation - Multi-Family,334100
201309,78722,Residential,12513500
201309,78722,Multi-Family,2771900
201309,78723,Residential,49404400
201309,78723,Irrigation - Multi-Family,347400
201309,78723,Multi-Family,23364700
201309,78724,Multi-Family,13127900
201309,78724,Irrigation - Multi-Family,563200
201309,78724,Irrigation - Residential,45000
201309,78724,Residential,22279300
201309,78725,Residential,2620300
201309,78725,Multi-Family,349900
201309,78726,Residential,30139600
201309,78726,Multi-Family,12205600
201309,78726,Irrigation - Residential,41600
201309,78726,Irrigation - Multi-Family,8262700
201309,78727,Irrigation - Multi-Family,8534700
201309,78727,Residential,65477500
201309,78727,Irrigation - Residential,26100
201309,78727,Multi-Family,22748100
201309,78728,Multi-Family,7206700
201309,78728,Residential,6139500
201309,78728,Irrigation - Multi-Family,2650200
201309,78729,Irrigation - Multi-Family,4060800
201309,78729,Irrigation - Residential,16300
201309,78729,Multi-Family,24791100
201309,78729,Residential,36778400
201309,78730,Multi-Family,4301500
201309,78730,Irrigation - Multi-Family,849300
201309,78730,Residential,27185900
201309,78730,Irrigation - Residential,176700
201309,78731,Irrigation - Residential,935300
201309,78731,Residential,109754700
201309,78731,Irrigation - Multi-Family,1263100
201309,78731,Multi-Family,20545300
201309,78732,Residential,12100
201309,78733,Residential,71700
201309,78735,Residential,36795200
201309,78735,Irrigation - Multi-Family,3131900
201309,78735,Multi-Family,10729600
201309,78736,Residential,19402500
201309,78736,Irrigation - Multi-Family,527400
201309,78736,Irrigation - Residential,29200
201309,78736,Multi-Family,2394100
201309,78737,Residential,11990600
201309,78737,Irrigation - Residential,11900
201309,78738,Residential,5500
201309,78739,Irrigation - Residential,400
201309,78739,Residential,83806500
201309,78741,Irrigation - Residential,66400
201309,78741,Multi-Family,91170200
201309,78741,Irrigation - Multi-Family,3237000
201309,78741,Residential,22808200
201309,78742,Multi-Family,927900
201309,78742,Residential,757300
201309,78744,Irrigation - Multi-Family,2134500
201309,78744,Irrigation - Residential,1900
201309,78744,Multi-Family,28082400
201309,78744,Residential,56043200
201309,78745,Residential,100955700
201309,78745,Irrigation - Multi-Family,3362400
201309,78745,Multi-Family,31928100
201309,78745,Irrigation - Residential,99300
201309,78746,Multi-Family,14941400
201309,78746,Residential,61611900
201309,78746,Irrigation - Multi-Family,1231800
201309,78746,Irrigation - Residential,835500
201309,78747,Irrigation - Residential,100
201309,78747,Multi-Family,8039600
201309,78747,Residential,33173400
201309,78747,Irrigation - Multi-Family,1508100
201309,78748,Residential,98216600
201309,78748,Irrigation - Residential,31800
201309,78748,Multi-Family,18002600
201309,78748,Irrigation - Multi-Family,10486700
201309,78749,Irrigation - Multi-Family,7181200
201309,78749,Irrigation - Residential,27900
201309,78749,Residential,100563000
201309,78749,Multi-Family,17700500
201309,78750,Irrigation - Multi-Family,3153100
201309,78750,Multi-Family,17187000
201309,78750,Irrigation - Residential,48200
201309,78750,Residential,94515400
201309,78751,Irrigation - Residential,163900
201309,78751,Irrigation - Multi-Family,557600
201309,78751,Residential,21988700
201309,78751,Multi-Family,13194000
201309,78752,Irrigation - Multi-Family,74100
201309,78752,Multi-Family,18648400
201309,78752,Residential,16642600
201309,78753,Irrigation - Multi-Family,5548000
201309,78753,Irrigation - Residential,20100
201309,78753,Residential,54471100
201309,78753,Multi-Family,50117500
201309,78754,Multi-Family,16948200
201309,78754,Irrigation - Multi-Family,2070500
201309,78754,Irrigation - Residential,200
201309,78754,Residential,28106000
201309,78756,Irrigation - Residential,104200
201309,78756,Irrigation - Multi-Family,189800
201309,78756,Multi-Family,6760700
201309,78756,Residential,19023100
201309,78757,Irrigation - Multi-Family,641400
201309,78757,Multi-Family,16939600
201309,78757,Residential,59647300
201309,78757,Irrigation - Residential,75200
201309,78758,Residential,57089800
201309,78758,Irrigation - Residential,47600
201309,78758,Irrigation - Multi-Family,4914100
201309,78758,Multi-Family,52561600
201309,78759,Irrigation - Multi-Family,1764700
201309,78759,Multi-Family,38338200
201309,78759,Residential,118163200
201309,78759,Irrigation - Residential,227700
201310,78613,Irrigation - Multi-Family,301500
201310,78613,Multi-Family,139300
201310,78617,Residential,18885900
201310,78617,Multi-Family,3188200
201310,78617,Irrigation - Residential,4200
201310,78652,Multi-Family,9400
201310,78652,Residential,725000
201310,78652,Irrigation - Residential,42500
201310,78653,Residential,1896400
201310,78653,Multi-Family,236100
201310,78660,Residential,8329400
201310,78660,Irrigation - Multi-Family,2500
201310,78660,Irrigation - Residential,9400
201310,78660,Multi-Family,3376400
201310,78701,Multi-Family,13131600
201310,78701,Irrigation - Multi-Family,476400
201310,78701,Residential,1329600
201310,78702,Irrigation - Multi-Family,753100
201310,78702,Irrigation - Residential,21000
201310,78702,Multi-Family,9631700
201310,78702,Residential,26484800
201310,78703,Irrigation - Multi-Family,718700
201310,78703,Irrigation - Residential,1455400
201310,78703,Multi-Family,13728300
201310,78703,Residential,60842100
201310,78704,Multi-Family,49319400
201310,78704,Irrigation - Multi-Family,3461900
201310,78704,Irrigation - Residential,237900
201310,78704,Residential,49282500
201310,78705,Multi-Family,36871500
201310,78705,Residential,10916900
201310,78705,Irrigation - Multi-Family,454200
201310,78705,Irrigation - Residential,86000
201310,78717,Multi-Family,7743400
201310,78717,Irrigation - Residential,12900
201310,78717,Residential,34246000
201310,78717,Irrigation - Multi-Family,5816500
201310,78719,Multi-Family,517000
201310,78719,Residential,1447700
201310,78721,Residential,15099400
201310,78721,Irrigation - Residential,2400
201310,78721,Multi-Family,4761800
201310,78721,Irrigation - Multi-Family,44000
201310,78722,Irrigation - Multi-Family,138200
201310,78722,Residential,9428000
201310,78722,Multi-Family,2583600
201310,78723,Irrigation - Multi-Family,234500
201310,78723,Residential,34566100
201310,78723,Multi-Family,22323900
201310,78724,Irrigation - Residential,25200
201310,78724,Irrigation - Multi-Family,483500
201310,78724,Residential,20086800
201310,78724,Multi-Family,12441800
201310,78725,Residential,2107100
201310,78725,Multi-Family,346600
201310,78726,Multi-Family,11461000
201310,78726,Irrigation - Multi-Family,5967900
201310,78726,Irrigation - Residential,5500
201310,78726,Residential,20848600
201310,78727,Multi-Family,22596200
201310,78727,Irrigation - Multi-Family,4992900
201310,78727,Residential,44580000
201310,78727,Irrigation - Residential,20300
201310,78728,Multi-Family,8516500
201310,78728,Residential,4561800
201310,78728,Irrigation - Multi-Family,1503700
201310,78729,Multi-Family,22842400
201310,78729,Residential,23561100
201310,78729,Irrigation - Multi-Family,3258900
201310,78729,Irrigation - Residential,15900
201310,78730,Residential,17218700
201310,78730,Irrigation - Residential,163900
201310,78730,Multi-Family,4509300
201310,78730,Irrigation - Multi-Family,647300
201310,78731,Multi-Family,20656800
201310,78731,Irrigation - Multi-Family,1075500
201310,78731,Irrigation - Residential,662700
201310,78731,Residential,71080600
201310,78732,Residential,7100
201310,78733,Residential,52200
201310,78735,Irrigation - Multi-Family,3197000
201310,78735,Residential,24604300
201310,78735,Multi-Family,9988600
201310,78736,Residential,13290700
201310,78736,Irrigation - Multi-Family,507500
201310,78736,Irrigation - Residential,3900
201310,78736,Multi-Family,2452900
201310,78737,Irrigation - Residential,5600
201310,78737,Residential,6528300
201310,78738,Residential,12400
201310,78739,Residential,49659300
201310,78739,Irrigation - Residential,2200
201310,78741,Irrigation - Residential,25600
201310,78741,Multi-Family,85636800
201310,78741,Residential,18180500
201310,78741,Irrigation - Multi-Family,3640200
201310,78742,Multi-Family,793500
201310,78742,Residential,578900
201310,78744,Irrigation - Residential,1200
201310,78744,Multi-Family,25180200
201310,78744,Residential,47915800
201310,78744,Irrigation - Multi-Family,2223900
201310,78745,Irrigation - Multi-Family,2639900
201310,78745,Irrigation - Residential,41500
201310,78745,Residential,73483900
201310,78745,Multi-Family,32216300
201310,78746,Residential,39131500
201310,78746,Multi-Family,13556300
201310,78746,Irrigation - Multi-Family,681600
201310,78746,Irrigation - Residential,442200
201310,78747,Irrigation - Multi-Family,584300
201310,78747,Irrigation - Residential,500
201310,78747,Residential,25003300
201310,78747,Multi-Family,7275500
201310,78748,Irrigation - Residential,12200
201310,78748,Irrigation - Multi-Family,7145100
201310,78748,Residential,68593200
201310,78748,Multi-Family,16976500
201310,78749,Multi-Family,17520800
201310,78749,Residential,65048100
201310,78749,Irrigation - Residential,26800
201310,78749,Irrigation - Multi-Family,6006700
201310,78750,Irrigation - Multi-Family,2390400
201310,78750,Irrigation - Residential,44800
201310,78750,Multi-Family,15488300
201310,78750,Residential,63206500
201310,78751,Irrigation - Multi-Family,569300
201310,78751,Multi-Family,12418000
201310,78751,Residential,17169500
201310,78751,Irrigation - Residential,88400
201310,78752,Residential,12427600
201310,78752,Irrigation - Multi-Family,41000
201310,78752,Multi-Family,18540700
201310,78753,Irrigation - Multi-Family,4670500
201310,78753,Multi-Family,49090500
201310,78753,Irrigation - Residential,2600
201310,78753,Residential,40582800
201310,78754,Residential,21146500
201310,78754,Irrigation - Multi-Family,2262100
201310,78754,Irrigation - Residential,3100
201310,78754,Multi-Family,15293700
201310,78756,Irrigation - Residential,52100
201310,78756,Irrigation - Multi-Family,165600
201310,78756,Multi-Family,6730700
201310,78756,Residential,12612500
201310,78757,Irrigation - Multi-Family,625200
201310,78757,Irrigation - Residential,39700
201310,78757,Residential,36418500
201310,78757,Multi-Family,16619400
201310,78758,Multi-Family,52908500
201310,78758,Irrigation - Residential,31000
201310,78758,Residential,42043100
201310,78758,Irrigation - Multi-Family,3201000
201310,78759,Irrigation - Multi-Family,1405700
201310,78759,Multi-Family,37496900
201310,78759,Irrigation - Residential,122700
201310,78759,Residential,79242400
201311,78613,Irrigation - Multi-Family,469600
201311,78613,Multi-Family,207600
201311,78617,Irrigation - Residential,3500
201311,78617,Residential,17954900
201311,78617,Multi-Family,2722000
201311,78652,Multi-Family,9900
201311,78652,Residential,679100
201311,78652,Irrigation - Residential,43800
201311,78653,Residential,1670900
201311,78653,Multi-Family,114800
201311,78660,Multi-Family,3086200
201311,78660,Irrigation - Residential,13200
201311,78660,Irrigation - Multi-Family,900
201311,78660,Residential,6831600
201311,78701,Multi-Family,13357200
201311,78701,Irrigation - Multi-Family,245500
201311,78701,Residential,1075300
201311,78702,Irrigation - Residential,600
201311,78702,Residential,24675200
201311,78702,Irrigation - Multi-Family,527200
201311,78702,Multi-Family,9760400
201311,78703,Irrigation - Residential,796600
201311,78703,Irrigation - Multi-Family,606500
201311,78703,Multi-Family,13527100
201311,78703,Residential,44931800
201311,78704,Irrigation - Residential,119500
201311,78704,Multi-Family,49245500
201311,78704,Irrigation - Multi-Family,1665400
201311,78704,Residential,40991600
201311,78705,Irrigation - Multi-Family,378500
201311,78705,Residential,9695100
201311,78705,Irrigation - Residential,25200
201311,78705,Multi-Family,38079400
201311,78717,Multi-Family,8090000
201311,78717,Irrigation - Residential,10400
201311,78717,Residential,24053100
201311,78717,Irrigation - Multi-Family,3369000
201311,78719,Multi-Family,530100
201311,78719,Residential,1504800
201311,78721,Multi-Family,4778500
201311,78721,Irrigation - Residential,800
201311,78721,Residential,13180800
201311,78721,Irrigation - Multi-Family,16500
201311,78722,Multi-Family,2632600
201311,78722,Irrigation - Multi-Family,13700
201311,78722,Residential,7780400
201311,78723,Multi-Family,22548500
201311,78723,Irrigation - Multi-Family,212000
201311,78723,Residential,30932100
201311,78724,Residential,18336000
201311,78724,Irrigation - Multi-Family,327700
201311,78724,Irrigation - Residential,12600
201311,78724,Multi-Family,11880600
201311,78725,Residential,1832700
201311,78725,Multi-Family,312700
201311,78726,Irrigation - Multi-Family,4603900
201311,78726,Irrigation - Residential,5100
201311,78726,Multi-Family,9877800
201311,78726,Residential,15110400
201311,78727,Residential,33346800
201311,78727,Irrigation - Multi-Family,2740500
201311,78727,Multi-Family,19810100
201311,78727,Irrigation - Residential,14700
201311,78728,Multi-Family,7905500
201311,78728,Irrigation - Multi-Family,670800
201311,78728,Residential,3917900
201311,78729,Residential,20314000
201311,78729,Irrigation - Residential,15600
201311,78729,Irrigation - Multi-Family,2617700
201311,78729,Multi-Family,22603800
201311,78730,Multi-Family,4253700
201311,78730,Irrigation - Multi-Family,654900
201311,78730,Residential,10156600
201311,78730,Irrigation - Residential,154100
201311,78731,Multi-Family,18340100
201311,78731,Irrigation - Residential,229300
201311,78731,Irrigation - Multi-Family,716100
201311,78731,Residential,50129500
201311,78732,Residential,3800
201311,78733,Residential,35700
201311,78735,Residential,16602000
201311,78735,Irrigation - Multi-Family,1240600
201311,78735,Multi-Family,8921200
201311,78736,Irrigation - Multi-Family,511200
201311,78736,Multi-Family,2296100
201311,78736,Residential,10075200
201311,78736,Irrigation - Residential,3600
201311,78737,Irrigation - Residential,2900
201311,78737,Residential,4815400
201311,78738,Residential,6500
201311,78739,Residential,38932800
201311,78739,Irrigation - Residential,8700
201311,78741,Irrigation - Multi-Family,2930000
201311,78741,Residential,17877800
201311,78741,Irrigation - Residential,10600
201311,78741,Multi-Family,84275700
201311,78742,Multi-Family,774400
201311,78742,Residential,580000
201311,78744,Irrigation - Multi-Family,1411100
201311,78744,Residential,47448600
201311,78744,Irrigation - Residential,600
201311,78744,Multi-Family,25713700
201311,78745,Irrigation - Multi-Family,2845000
201311,78745,Multi-Family,29861500
201311,78745,Irrigation - Residential,25300
201311,78745,Residential,66441300
201311,78746,Irrigation - Residential,196500
201311,78746,Irrigation - Multi-Family,596600
201311,78746,Multi-Family,11755200
201311,78746,Residential,26125500
201311,78747,Irrigation - Multi-Family,457800
201311,78747,Residential,20635600
201311,78747,Irrigation - Residential,3200
201311,78747,Multi-Family,6793400
201311,78748,Irrigation - Residential,15100
201311,78748,Multi-Family,18138000
201311,78748,Residential,59226600
201311,78748,Irrigation - Multi-Family,4916400
201311,78749,Multi-Family,17358900
201311,78749,Irrigation - Residential,25900
201311,78749,Irrigation - Multi-Family,4389900
201311,78749,Residential,52719400
201311,78750,Irrigation - Multi-Family,1510000
201311,78750,Irrigation - Residential,22000
201311,78750,Residential,45104100
201311,78750,Multi-Family,14692600
201311,78751,Irrigation - Multi-Family,508400
201311,78751,Irrigation - Residential,36900
201311,78751,Residential,15315600
201311,78751,Multi-Family,12243300
201311,78752,Irrigation - Multi-Family,22400
201311,78752,Multi-Family,18322400
201311,78752,Residential,11947700
201311,78753,Irrigation - Multi-Family,3309100
201311,78753,Residential,35521600
201311,78753,Irrigation - Residential,1600
201311,78753,Multi-Family,46928900
201311,78754,Residential,17799100
201311,78754,Irrigation - Residential,9200
201311,78754,Irrigation - Multi-Family,2131200
201311,78754,Multi-Family,14416600
201311,78756,Irrigation - Multi-Family,90000
201311,78756,Residential,10219400
201311,78756,Irrigation - Residential,33500
201311,78756,Multi-Family,6575200
201311,78757,Irrigation - Multi-Family,268800
201311,78757,Irrigation - Residential,75300
201311,78757,Residential,29172600
201311,78757,Multi-Family,14466500
201311,78758,Irrigation - Multi-Family,1476800
201311,78758,Residential,37145300
201311,78758,Irrigation - Residential,6900
201311,78758,Multi-Family,49095000
201311,78759,Irrigation - Residential,25600
201311,78759,Multi-Family,33576000
201311,78759,Irrigation - Multi-Family,708000
201311,78759,Residential,53395400
201312,78613,Multi-Family,226300
201312,78613,Irrigation - Multi-Family,268200
201312,78617,Irrigation - Residential,3700
201312,78617,Multi-Family,2604800
201312,78617,Residential,18851700
201312,78652,Irrigation - Residential,34800
201312,78652,Residential,654200
201312,78652,Multi-Family,8700
201312,78653,Multi-Family,151400
201312,78653,Residential,1867000
201312,78660,Residential,7123500
201312,78660,Irrigation - Multi-Family,
201312,78660,Irrigation - Residential,8400
201312,78660,Multi-Family,3124000
201312,78701,Multi-Family,12076900
201312,78701,Irrigation - Multi-Family,254300
201312,78701,Residential,780100
201312,78702,Multi-Family,9473900
201312,78702,Irrigation - Multi-Family,501600
201312,78702,Irrigation - Residential,1100
201312,78702,Residential,24632200
201312,78703,Irrigation - Multi-Family,405400
201312,78703,Residential,38440600
201312,78703,Irrigation - Residential,475000
201312,78703,Multi-Family,12409200
201312,78704,Irrigation - Multi-Family,1479500
201312,78704,Irrigation - Residential,78600
201312,78704,Multi-Family,47136300
201312,78704,Residential,39068400
201312,78705,Irrigation - Multi-Family,336000
201312,78705,Multi-Family,34827600
201312,78705,Residential,8810300
201312,78705,Irrigation - Residential,44200
201312,78717,Irrigation - Residential,7700
201312,78717,Residential,21327700
201312,78717,Irrigation - Multi-Family,1160900
201312,78717,Multi-Family,8254200
201312,78719,Residential,1394200
201312,78719,Multi-Family,545400
201312,78721,Irrigation - Residential,1200
