ID,Consumer,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10,Media_11,Media_12,,
37,Multi-Family,22270200,28814200,32697100,30669400,32127200,29244000,27418900,28757800,31057300,34115200,36354300,32315900,25890700,31743400,31974600,30998800,34673100,28181400,29142800,30282300,35386000,36871500,38079400,34827600,27469600,34263400,34755300,33111200,34074100,28750700,29031400,28573400,35925900,36929600,38800300,34425400,30411900,31821900,41672000,36297600,34521300,30283800,30246400,31253800,36857600,40756500,40199700,33801600,30176900,35613700,38492900,38447000,38105500,32407600,31488800,31443900,39017300,41002600,39447600,34097400,29075400,34431200,38106700,36179600,37193100,32324000,31685200,29252200,39488100,22758300,27549116.67,32781300,36283100,34283933.33,35115716.67,30198583.33,29835583.33,29927233.33,36288700,35405616.67,36738402.78,33708200,,
38,Irrigation - Multi-Family,364100,313000,339300,360800,459500,495600,623700,734600,653300,426800,385100,362700,227500,227400,380800,611400,247900,252300,328800,519300,566100,454200,378500,336000,303800,279700,286600,363100,414400,554500,796200,887200,1055700,1351200,773100,571100,462000,335500,291400,263700,279300,297600,395100,682900,1209100,1065000,700300,400800,257700,282100,453300,616800,769600,624300,871700,1123700,1169800,966400,970200,511900,429400,368100,424600,515000,512700,597700,858600,1025500,937100,522300,340750,300966.6667,362666.6667,455133.3333,447233.3333,470333.3333,645683.3333,828866.6667,931850,797650,591325,413911.1111,,
39,Residential,8258300,8106400,8654600,9358300,12254200,11796300,13664500,12917000,14800500,11557500,11407200,10862900,9876800,8818400,9629900,10258100,10909900,10053700,12089200,11664600,13667800,10916900,9695100,8810300,8527000,8684300,8425400,9228000,10434200,9916100,10279500,10131500,13111300,9718700,9883800,8277300,8179300,7267700,7734700,8154700,8208600,7385800,9083800,11675200,13052900,12716400,10724600,8270100,7989000,8231400,9048200,8691100,7983700,7682300,10429100,11755700,10858900,10860900,10010900,8377200,7660400,7573500,8123900,8354100,8862100,9475300,10874700,11635500,12413200,7495500,8415133.333,8113616.667,8602783.333,9007383.333,9775450,9384916.667,11070133.33,11629916.67,12984100,10544316.67,10022788.89,8785236.111,,
40,Irrigation - Residential,28100,48700,38900,42700,81700,191100,138700,171200,216000,100400,105600,118900,66000,55800,68300,75500,73100,96400,123600,146200,179700,86000,25200,44200,29300,28100,56900,82200,100200,68100,90300,117200,174000,75800,91100,32900,24500,28200,27300,24800,38000,39600,80600,166900,187600,152200,111300,29800,14900,31600,61700,54900,54700,19700,72400,143700,97700,89100,158300,45700,23800,29000,33200,28800,51600,115200,134500,184900,97900,52000,31100,36900,47716.66667,51483.33333,66550,88350,106683.3333,155016.6667,158816.6667,92583.33333,87100,51400,,
41,Multi-Family,7693500,6778400,6778800,7178500,6877800,7743600,7192900,7224500,7166200,7475000,6769100,7074400,7803900,7016200,7146900,7635800,7456700,7529300,7410300,8174900,8387900,7743400,8090000,8254200,9344400,8061700,8177200,8111800,8395500,9312800,8413800,9369300,8760400,8713100,9449900,9632900,9685200,9440800,14804900,10241400,8987200,11452500,10859500,11659400,10153700,10625100,9292800,10820000,12438500,10690300,12014900,11047600,11417000,11933300,12390400,12541600,12188600,11494000,11426700,11557700,12413600,10698400,12139300,10768500,12483000,13698800,12652300,13084000,11318600,0,9896516.667,8780966.667,10177000,9163933.333,9269533.333,10278383.33,9819866.667,10342283.33,9662566.667,7675100,9154169.444,9353361.111,,
42,Irrigation - Multi-Family,1415700,1186400,1199700,2160500,2901000,5362300,6114900,8200300,6502000,4575400,3333800,3743400,2794700,1708900,2216000,3383600,3864100,5255300,6520300,7347200,8379400,5816500,3369000,1160900,1122100,873700,904900,2829300,3714600,5733700,5118800,6211500,6085800,6606700,3803000,2343800,1619000,1312100,2210000,3901200,4290100,4947000,7815400,11191300,11608600,8714500,3566600,2692800,1169400,1811500,3327800,4163600,4385000,5397400,11723600,10463400,7274200,6589000,4894800,2295300,1831400,1936900,3578200,4616300,5926300,7329900,7774800,8491700,6553700,33700,1658716.667,1471583.333,2239433.333,3509083.333,4180183.333,5670933.333,7511300,8650900,7733950,5389300,3437652.778,2284630.556,,
43,Residential,24385200,19562600,24170500,37056200,43627000,60736700,52836100,64234000,52665300,39798200,39108900,27969600,26958300,21551600,27223200,32248200,39395900,39750500,53166300,51865800,52052500,34246000,24053100,21327700,25548000,19582300,22495000,31058500,38973500,36451800,42463400,52765800,48866100,38036200,30897000,23275500,25159700,20570300,21198000,29662800,26218100,30153800,43576100,69554900,61114400,49130200,25712100,24267600,25636100,24853100,26233800,30579400,27438300,35476400,63232700,50383600,42177900,42198400,33388800,25766800,26552100,22107700,28369400,32326800,42621200,43069400,59159800,55713100,45887700,317000,25706566.67,21371266.67,24948316.67,32155316.67,36379000,40939766.67,52405733.33,57419533.33,50460650,33954333.33,29811077.78,23996411.11,,
44,Irrigation - Residential,0,0,0,9400,19400,43800,31000,51300,44200,28700,39700,33400,19100,14600,25300,28500,22800,30400,48600,38600,54200,12900,10400,7700,2900,2800,3200,4700,22700,10100,24700,41800,39500,18800,29100,4200,5900,22700,14600,22400,24100,21500,48200,73600,65800,44000,11000,9100,11600,11000,20800,32400,25100,23300,78600,51900,29000,47100,38200,18700,23600,15900,15800,24600,51000,43400,63300,43300,36100,0,10516.66667,11166.66667,13283.33333,20333.33333,27516.66667,28750,49066.66667,50083.33333,44800,25250,23152.77778,14044.44444,,
45,Multi-Family,5109300,3827800,4758600,4236300,4599200,5239300,4762500,5367100,5029500,4682500,5514300,4061200,4352700,4103100,4356800,4569900,4460600,5100900,5388500,5557700,5094900,4761800,4778500,4697800,5865800,5068800,3621300,4607900,4879300,5069800,4859000,5009300,5200800,4386300,4971900,4795900,5085900,4387600,4503900,4338200,4310700,4860300,4965500,5216900,4897900,4439700,4714900,5108400,5082800,4700300,4482800,4446400,4434600,4607500,4900700,4783700,4793500,5013100,4714100,4712000,5267500,4178000,4471000,4047300,4032200,4323100,4575000,4760700,5134000,458400,5127333.333,4377600,4365733.333,4374333.333,4452766.667,4866816.667,4908533.333,5115900,5025100,3956966.667,4970172.222,4625483.333,,
46,Irrigation - Multi-Family,0,0,0,0,235000,258200,301000,392000,348000,523000,0,0,0,0,0,0,27000,129000,285600,244800,277800,44000,16500,600,0,100,2800,100,1000,21600,23900,120000,114300,246700,28000,7000,26000,0,8800,20200,29900,53800,79900,112800,17000,174000,252000,286000,315000,262000,104000,1041000,82000,197000,173000,329000,170700,159600,155300,147400,2600,88500,116400,88200,94500,151100,268800,370100,357600,7000,57266.66667,58433.33333,38666.66667,191583.3333,78233.33333,135116.6667,188700,261450,214233.3333,192383.3333,84844.44444,83238.88889,,
47,Residential,15838100,13096000,14854000,15044600,16297400,18978600,18381500,20275300,16497600,16092400,15386300,13680300,16151700,12997600,14251900,15010600,15194600,16297500,18779100,17323100,17007600,15099400,13180800,13275100,15903600,12497200,12849500,14151900,14494100,14964000,15388800,16341400,15073000,13088200,13543500,13042800,14454400,11646200,12498400,12477900,12371900,13515900,15707400,17066900,14915000,14735100,12036800,13051100,13781600,12110800,12435000,12439800,11928100,14037900,15647200,14767900,13745800,13226100,12265700,12351500,13310900,10461900,12131000,11540200,13075200,14039600,15495600,14276200,14291900,118200,14906716.67,12134950,13169966.67,13444166.67,13893550,15305583.33,16566600,16675133.33,15255150,12059900,13553302.78,12922625,,
48,Irrigation - Residential,5900,900,300,1900,8000,21300,20900,9600,4000,1000,2100,1900,3500,2900,6500,7700,5000,4500,8200,7800,12900,2400,800,1200,1000,400,600,9900,8300,1800,2200,12700,7600,4700,5300,4100,3600,3800,5900,4600,4100,5300,8900,19300,6000,12600,3200,2900,4600,4100,3700,4600,3700,4200,5300,6600,5100,3800,4700,10500,3800,2800,7600,3300,18500,5400,7400,8200,4900,0,3733.333333,2483.333333,4100,5333.333333,7933.333333,7083.333333,8816.666667,10700,6750,4083.333333,3305.555556,3847.222222,,
49,Multi-Family,2846100,2589900,2975600,2780700,3064500,3296900,3256300,3289900,3183900,2858300,3053800,2790000,2743400,2557700,2629100,2720200,2566900,2894000,2537400,2979100,2771900,2583600,2632600,2329300,2476600,2456500,2366100,2392600,2534300,2561300,2424000,2675500,3130100,2555900,2750600,2783200,2936600,2215300,2545700,2604600,2523500,2727500,2830900,2938400,3051300,3003600,2933700,2682800,2911600,3006800,3222600,2980600,2894000,3193100,3149600,3145300,3373000,3284400,3093000,3318700,3081700,3307200,2894700,2499100,3787800,3025000,3174300,2612600,3799900,2094700,2832666.667,2688900,2772300,2662966.667,2895166.667,2949633.333,2895416.667,2940133.333,3218350,2730083.333,2882727.778,2765483.333,,
50,Irrigation - Multi-Family,41700,42600,84000,32900,44500,152600,154500,179500,129400,102700,132300,167600,111200,80900,42000,91400,201400,128000,265300,279900,334100,138200,13700,0,9200,4500,60500,178400,197000,124500,26000,262500,387000,254100,500600,57600,25400,3100,7000,6100,89200,185100,202600,276500,561400,366100,198200,134600,81800,67500,14600,187000,70200,72100,357000,273600,281600,358100,158700,67400,58000,36000,80200,81300,51900,132000,231200,228100,319300,236000,54550,39100,48050,96183.33333,109033.3333,132383.3333,206100,250016.6667,335466.6667,242533.3333,176341.6667,77716.66667,,
51,Residential,8121100,7252700,7870300,8168500,10681900,11584600,13650900,13671400,13753900,9144400,9707800,9997800,8911200,8040700,8441600,9247100,9913900,10207100,12303900,12285000,12513500,9428000,7780400,7790300,7938300,7595900,7352600,8236400,9810700,8757600,9978500,10202200,12133300,7733700,9105200,7302400,7779500,6613500,7217800,7505200,7351600,7195600,8224600,12271700,11096200,10590100,8542400,7399800,7519500,7023500,7733100,7695900,6910500,7615100,10779400,11931100,9093500,9387700,8412100,7676000,7475500,6508100,7032600,7145500,8746300,8213200,10772000,9905400,9774400,7449000,7957516.667,7172400,7608000,7999766.667,8902483.333,8928866.667,10951550,11711133.33,11394133.33,8955483.333,8584236.111,7889783.333,,
52,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,200,200,100,2900,200,1000,1000,0,0,0,0,0,0,0,3300,23700,0,0,0,0,0,0,0,0,2900,0,0,0,166.6666667,0,0,0,0,66.66666667,516.6666667,33.33333333,566.6666667,4433.333333,61.11111111,166.6666667,,
53,Multi-Family,21808300,19001300,19841200,19670700,19932400,21844000,22601700,23749800,22166100,22089200,22305000,22589300,23277100,20400000,20337900,21464500,22098900,22471900,22550500,23408600,23364700,22323900,22548500,21426000,23286700,20686500,20150400,21686500,21948200,23013200,21770500,22492600,24142200,21813000,22424500,22526400,24941300,20754500,24470800,19323800,21194800,23234300,23626400,23028800,24163800,24050200,23094200,25860200,24488200,23168700,22515900,21939100,22456700,23641500,24294900,24345000,24469400,22095500,22898300,23031400,24056400,20719800,22341400,21962200,21908700,22662300,23801200,23248800,23579300,10906800,23643000,20788466.67,21609600,21007800,21589950,22811200,23107533.33,23378933.33,23647583.33,20546433.33,22818916.67,22703627.78,,
54,Irrigation - Multi-Family,180700,151300,160300,129000,128000,150300,153300,326800,412700,324600,397100,385300,272700,213200,248700,330400,275100,277200,295100,358100,347400,234500,212000,58400,70300,17500,31500,94500,67700,68800,224100,212900,309100,265700,274800,184700,152100,75200,143800,78300,109100,102000,27700,191800,327200,240700,127800,53800,27500,87500,27200,60200,175600,247900,269400,330300,363300,341700,327600,279300,261000,173200,202800,400300,430300,487200,590600,569300,484900,126500,160716.6667,119650,135716.6667,182116.6667,197633.3333,222233.3333,260033.3333,331533.3333,374100,255616.6667,250002.7778,180191.6667,,
55,Residential,33487000,29387600,31007900,33819500,39479500,45257500,51091600,51375400,49810500,36092400,37031700,36665000,35467600,30535400,32200000,35318700,36500200,38421400,46897300,46164500,49404400,34566100,30932100,30837000,33165100,29471800,28687100,32239900,35996000,35857900,38059300,40449900,44394500,32518700,33282400,29842900,35323900,26627300,31658000,30200000,28899800,30552700,36361900,45477700,42566200,38180900,31360300,30200300,30137500,28757900,31029000,30079700,28790400,32757600,39800500,40647400,35848600,34765200,33160800,30396900,30406500,26996400,30265700,30096900,33414500,35413100,41361400,41362800,36894500,13932000,32997933.33,28629400,30807950,31959116.67,33846733.33,36376700,42262000,44246283.33,43153116.67,31675883.33,33127538.89,31095250,,
56,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72100,0,0,0,200,400,2000,300,300,1500,1700,2000,2100,3900,3600,3800,700,6000,5400,5400,7200,7600,2300,0,100,1100,7900,2200,8500,9600,13900,9200,13400,9200,3600,7500,8600,1000,1566.666667,2666.666667,3550,2483.333333,3483.333333,3050,1266.666667,1583.333333,13816.66667,1000,2177.777778,,
57,Multi-Family,11720800,9483000,14170000,10912100,11055900,14868200,13099500,14344900,13961300,13036500,13347100,12318200,13858400,11670700,11816900,12296500,12301000,12552000,12906800,13277900,13127900,12441800,11880600,12139200,13421800,11150800,12163400,12337500,13140900,13962500,14133100,13927700,11562000,13748700,12382000,12069900,13847100,11139400,11790400,11385200,11648200,12986800,13169900,14253900,12396300,13251100,11723700,13275500,11962400,11803700,11277800,13102700,11828400,11333100,12637100,12788900,12540400,11537900,12782000,12268000,12163900,10907800,11821700,9647100,13424000,12474400,12384800,12656900,15306900,437100,12829066.67,11025900,12173366.67,11613516.67,12233066.67,13029500,13055200,13541700,13149133.33,10742183.33,12490744.44,12182783.33,,
58,Irrigation - Multi-Family,393100,327200,195500,0,35600,100800,137800,242700,561200,354300,536300,318800,670400,128700,128300,220600,659700,1162200,468700,594900,563200,483500,327700,219300,203700,99100,243300,276900,336100,378400,203100,465300,459700,208200,160200,88500,50100,32800,58900,145000,195500,244600,248400,324900,340300,361400,319300,249600,130300,102500,104700,143300,11000,6500,371100,436900,230400,23100,420200,457500,301100,344800,388500,166600,158100,185000,421200,1156900,865700,0,291450,172516.6667,186533.3333,158733.3333,232666.6667,346250,308383.3333,536933.3333,503416.6667,238416.6667,342525,251036.1111,,
59,Residential,21187700,16930900,19609400,19120700,21472700,25447700,23865300,26878500,22118600,20399300,20092900,19562200,21810600,17715100,19127000,19663600,20860200,21783600,25504000,23864800,22279300,20086800,18336000,18384200,21962600,17512000,17554300,19421300,20566400,20702300,22925100,23082100,22731700,18815800,19417600,18417600,21194100,16817500,17887900,18544200,17709700,19447600,22563400,24615700,22998300,21320200,17642200,19491300,20268300,18329300,18020300,19277500,17970100,22191200,23464700,22505000,21619000,19383400,18934300,18869900,20104100,16093800,19430800,17652400,19182200,21391000,23306000,21841200,22922700,226100,21087900,17233100,18604950,18946616.67,19626883.33,21827233.33,23604750,23797883.33,22444933.33,16705266.67,19251816.67,18659716.67,,
60,Irrigation - Residential,18800,17900,20300,32000,34300,49000,39100,56000,50300,16500,10000,9500,10300,7900,9500,10900,21200,45300,48000,127700,45000,25200,12600,13400,15600,12500,10800,23400,51500,27300,45800,54800,52200,32200,21200,13500,17300,13800,14800,16200,16200,16900,30400,60100,32500,14300,16100,18000,21100,18600,21500,23600,21300,19000,35100,35300,17800,21100,30300,24100,19500,18200,24900,15500,20100,22200,50700,44500,34400,0,17100,14816.66667,16966.66667,20266.66667,27433.33333,29950,41516.66667,63066.66667,38700,18216.66667,17883.33333,15552.77778,,
61,Multi-Family,11858900,11423300,11131400,11272400,11411400,12255000,11997400,11733100,12391600,12496600,11937300,11155000,13980200,10302200,11215000,11645200,11097700,11972600,11719500,11875000,12205600,11461000,9877800,11374200,12751300,10134100,10983100,10571100,11386700,12699300,11598700,12566600,12143400,10716200,12009700,10665200,14602400,10364900,15135600,11685400,11777100,12056700,12303600,12468100,12220800,10815100,11670200,12290600,12819200,12088200,10147000,13339700,12826200,12904400,13064000,12860500,14129900,12443600,13879700,12318400,13312200,10895100,12643500,12834100,12816200,13063200,13940300,12255300,12963300,0,13220700,10867966.67,11875933.33,11891316.67,11885883.33,12491866.67,12437250,12293100,12675766.67,9655416.667,12099233.33,11445227.78,,
62,Irrigation - Multi-Family,1998700,2313800,1924000,2657700,3665800,3920800,6229100,7843400,8598600,5987200,4194000,3943200,3667400,2853500,3007400,4304400,5616400,6298000,7153200,8023400,8262700,5967900,4603900,1483100,1434000,1278500,1568200,2584300,3706700,5100400,5855600,6527700,6228000,4863500,4730300,2639800,2019000,1369500,2146000,3250500,3727800,3620500,5606600,9272400,8020600,7129000,3940400,2504000,2753900,2005300,2273200,2916100,2836800,3955700,5515100,4675600,4585900,3938700,2488900,2060700,1620700,1655300,2261600,2798900,3815500,4446300,6986700,6631700,5479700,0,2248950,1912650,2196733.333,3085316.667,3894833.333,4556950,6224383.333,7162366.667,6862583.333,4647716.667,3701075,2423908.333,,
63,Residential,13720800,11319000,12407400,16862400,26270000,28263300,32795100,30070700,33764400,24377500,21177600,20154800,16968400,12678700,14890200,19230900,20750700,21277800,27110900,27354400,30139600,20848600,15110400,12336500,13533900,11052800,11597000,15982700,20691900,21368000,23281000,27368900,28827700,18943200,18488400,13139500,13627700,10243100,11053600,13752700,13699800,14006800,19959800,33858900,33355900,28216300,17242700,12213700,12833400,12617900,14009800,14174400,13538600,17162800,24876500,28243200,23145400,23313300,20089000,14005200,13695600,11236700,12988800,15307300,19964200,21849600,29533000,30691700,24005500,10493500,14063300,11524700,12824466.67,15885066.67,19152533.33,20654716.67,26259383.33,29597966.67,28873083.33,21032066.67,17695233.33,13895733.33,,
64,Irrigation - Residential,2900,1700,1000,32100,85100,68200,33200,56400,23700,2800,10600,41300,3600,2000,35600,13700,31600,40800,102800,30300,41600,5500,5100,2800,2300,1700,1000,1100,81100,20000,24700,37200,50700,19600,11100,2200,6000,2400,5900,56900,44100,21600,74900,123700,95300,99000,28100,25000,13900,37200,36500,19600,9300,26900,75600,82200,81200,50400,53000,31800,11900,6500,7600,10200,34500,77000,64100,70100,38900,0,6766.666667,8583.333333,14600,22266.66667,47616.66667,42416.66667,62550,66650,55233.33333,29550,19111.11111,18613.88889,,
65,Multi-Family,21880600,19808300,21012400,19733400,19635600,20478200,22301800,23697200,22200800,21823500,21083300,20551400,22277900,17905900,20963500,19466000,20954900,20206900,21839400,22273200,22748100,22596200,19810100,20258800,22582800,18563000,17973500,19287000,18938000,19549200,20771000,20502800,21856000,18923600,20058400,19996900,22021800,18024600,19473700,19052000,18049900,20407900,22073800,21835400,22174700,21378300,17730000,21865100,22792000,20344500,21489600,25048300,20826400,22804300,23085600,23228500,24318000,22337400,21601900,21856800,23593900,20898600,23157100,21294700,21871400,24852000,23727800,23683800,25110600,8694000,22524833.33,19257483.33,20678300,20646900,20046033.33,21383083.33,22299900,22536816.67,23068033.33,19292166.67,20468088.89,20631080.56,,
66,Irrigation - Multi-Family,1874400,1942100,2812500,3482000,4743500,6725600,8639700,10851200,10977800,7530600,5062300,3847000,2425600,2746300,3283400,4236400,5277400,6175900,8026300,7296100,8534700,4992900,2740500,1441000,1151800,1176800,1589000,3066100,4783700,4669600,5304800,7474500,8113000,4687600,2905500,2439000,1031900,864800,947300,1997400,2454800,2826700,5433000,10209100,10869400,8572500,4855700,2451400,1288300,2528900,3391100,2804100,3576500,4005200,6142300,8664000,7311200,7788100,7333400,3505900,2646600,2784100,2830000,4550700,6739500,6508800,8489500,9842800,8106600,2606900,1736433.333,2007166.667,2475550,3356116.667,4595900,5151966.667,7005933.333,9056283.333,8985450,6029766.667,4105638.889,2615244.444,,
67,Residential,34692800,30462300,32993500,37528200,53116900,59052100,67475900,64959000,66534500,47105900,45446000,43536000,39037300,31663000,35461700,38808000,44262500,45593200,56491800,57631500,65477500,44580000,33346800,30860800,34416000,29448700,29002900,35716600,42461300,43004600,47278200,53548800,63543800,38619700,39025300,29936000,35442700,26600900,28295600,32185000,30889600,31813000,42644100,64467600,61398000,52366600,34557800,29195100,31537400,28788300,31720200,33314100,29980100,34139400,53171200,55316300,42501400,40597000,37761800,30711800,31292100,26805700,30692600,31064800,38280900,39851100,50510800,54872900,45342400,16677000,34403050,28961483.33,31361083.33,34769450,39831883.33,42242233.33,52928666.67,58466016.67,57466266.67,39991033.33,37423458.33,32200197.22,,
68,Irrigation - Residential,1000,1600,800,5600,7900,7300,7500,6300,17300,5500,4700,3200,800,1800,1000,10600,2200,10900,17600,20600,26100,20300,14700,100,0,700,2200,10400,19400,21000,18800,33800,30500,16400,16800,3500,0,8200,0,0,200,200,33800,52300,36500,24300,4200,4200,4900,8200,11500,12100,6500,19200,46300,25600,33100,6400,10700,10700,11500,10400,12200,11100,11100,12200,13100,14300,13500,0,3033.333333,5150,4616.666667,8300,7883.333333,11800,22850,25483.33333,26166.66667,12150,9022.222222,4475,,
69,Multi-Family,7676600,6345400,7288600,6612100,7424200,7525300,9007000,8497600,8148400,7586100,7297100,7090500,7819700,6661500,6809600,7129200,7159300,7444800,8499800,9510600,7206700,8516500,7905500,7362400,8725800,6601300,5474000,5627600,5505100,5941000,5927600,5708400,7804200,7056700,7204400,6991300,7488500,6706000,6603000,6578600,6670000,7258900,7449900,8614800,8107500,7609800,7000700,7265600,7513500,7183500,6791300,6852000,6945800,7430900,8415100,9190400,6850700,8060500,6972200,7136400,7183900,6197900,6476400,8278700,8730400,9119400,9556000,9645800,9191600,1470000,7734666.667,6615933.333,6573816.667,6846366.667,7072466.667,7453383.333,8142566.667,8527933.333,7884850,6716600,7352427.778,7077022.222,,
70,Irrigation - Multi-Family,301300,187900,125800,865000,1627700,1588400,1053400,1425800,1733100,971400,824100,686600,539800,562300,455600,728100,934500,1066000,1764300,1825900,2650200,1503700,670800,460600,218400,178100,1422000,1968700,2101800,2584600,2836000,2926500,1550200,1493500,1510500,1110600,903300,628500,425400,1154500,1230100,1315800,1787400,2977100,3754400,3018800,1647500,469900,351100,422400,565100,854900,1147000,1443700,1807100,2312400,1798400,2102700,2302700,3180000,2762200,1708400,1820100,731700,2958200,2798900,3744800,4299100,3431800,261500,846016.6667,614600,802333.3333,1050483.333,1666550,1799566.667,2165500,2627800,2486350,1558600,1300269.444,1087050,,
71,Residential,3602300,3114100,3763200,4507800,5035000,6593700,6010300,7028600,6091700,4675400,4795000,4388000,4036100,3621000,4059100,4229500,4836200,4964100,5859700,6356200,6139500,4561800,3917900,3699600,4189100,3526400,3631000,4260600,5051200,4909600,5501600,6432600,6296900,4961000,4776100,3941500,4567900,3521600,4427600,4575500,4085200,4733000,6359100,8040000,7394500,6268500,4246100,4595500,4323700,4335400,4819000,4588500,4603000,5697100,7606500,6836200,6003800,5643200,5044200,4390200,4901200,4241400,4975700,5035300,5917300,6283000,7379100,7646000,6403800,70800,4270050,3726650,4279266.667,4532866.667,4921316.667,5530083.333,6452716.667,7056600,6388366.667,4363450,4508225,4123575,,
72,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,3000,2300,4400,2800,2400,3600,8200,12300,11500,5600,2700,2600,2500,3000,3200,2300,3000,4200,5100,4600,5400,7000,2700,3000,3000,3100,4500,6100,8300,10600,11600,14500,9600,0,1416.666667,1400,2016.666667,1866.666667,2283.333333,3066.666667,4150,5233.333333,4416.666667,2100,1136.111111,1433.333333,,
73,Multi-Family,21389000,20504100,21927100,21898400,22862000,26584700,25646600,27007800,28078100,24221800,24831800,24028900,24219600,21945700,20737700,20948200,22498200,22345100,24034400,24687800,24791100,22842400,22603800,20946500,21916100,19064800,18607500,19193500,20965700,20566800,20804800,19635800,22513300,21479400,19562900,20083600,21902100,16447000,23498500,19392700,18817500,19387200,23132000,23394700,23118100,22219700,20788100,20398200,20829400,20261500,21236500,21434400,22622100,23720200,22377900,26135200,24175400,23149400,22505200,21035700,21436400,19400000,19673200,19483800,20149300,21863100,22187400,20520800,21103000,7751200,21948766.67,19603850,20946750,20391833.33,21319133.33,22411183.33,23030516.67,23563683.33,23963166.67,20277316.67,22040094.44,21016125,,
74,Irrigation - Multi-Family,1315600,1186500,1296300,1615200,2387900,4085700,4293500,5617800,6583800,4058200,2528000,2943800,2237500,2055700,1601400,2523100,2952600,3350300,3536800,4574800,4060800,3258900,2617700,1321600,472700,799900,627900,1273300,2434100,3346700,3330100,4271400,4561300,4216300,3779000,2367900,1496600,1187000,1078000,1091100,2310000,1346600,2356500,4077700,5919800,6033900,4264900,2414700,1695200,1604000,1855000,1486300,2157400,3093000,3997300,6077300,5562500,5534600,4852700,2520000,1482400,1460900,1449400,2659100,3167200,4216700,5203700,5840200,5167100,2979100,1450000,1382333.333,1318000,1774683.333,2568200,3239833.333,3786316.667,5076533.333,5309216.667,4346833.333,3248716.667,2158388.889,,
75,Residential,19736700,17513400,18607800,20768500,28412500,35317700,39158000,33570700,40593800,27301100,25927200,25749400,22484300,19134400,20173400,22874100,24439700,26656800,32280900,34236900,36778400,23561100,20314000,18769000,19879200,17499300,17384900,20035900,24754500,25285100,24637400,30271100,34973600,22581400,22742900,18106800,19458800,15608000,19509500,18403900,18087900,18976300,25564700,38765100,34133400,28580500,23620200,17635900,18871600,17967800,18896000,18960700,18792900,21070300,30131000,30565700,24605200,25413300,22279500,18269400,18795400,16659000,18011600,19510500,22193500,24698900,31546500,31002100,24995000,14475700,19871000,17396983.33,18763866.67,20092266.67,22780166.67,25334183.33,30553083.33,33068600,32679900,23652183.33,22459133.33,19321247.22,,
76,Irrigation - Residential,1800,3000,1300,1800,27400,12600,19200,15000,22700,17900,16800,14900,12600,10800,12000,14700,11600,23500,19000,15900,16300,15900,15600,10200,8300,9700,7600,9900,14800,18100,17600,23200,7000,4200,5300,4900,3100,1400,1400,5800,5100,4400,5000,8200,6700,6300,4700,1700,2400,700,1600,5000,2800,3600,5600,6200,5100,6300,7200,3600,2800,2100,1500,7200,6800,8600,10900,7600,9600,7300,5166.666667,4616.666667,4233.333333,7400,11416.66667,11800,12883.33333,12683.33333,11233.33333,9650,9127.777778,6652.777778,,
77,Multi-Family,5260500,3887100,4232300,4138100,4379100,4748700,4870600,4889400,5023900,5151100,4807000,4531700,5152200,4393800,4464400,4460100,4189900,5138500,4775900,4861800,4301500,4509300,4253700,4194900,4550000,3874100,4043500,3765700,4007800,4483700,4226100,4791300,4922900,4300900,4673700,4112900,4668100,3779800,5510000,4404600,4679200,4990400,5140000,5614800,5824100,5249600,4805900,4989800,5251600,3171000,6205500,4830200,5063300,5331000,5046400,5495500,5084400,4996900,3709000,5583200,5188900,4863100,5200800,4586300,5118200,5465400,4977600,4923200,5076300,383200,5011883.333,3994816.667,4942750,4364166.667,4572916.667,5026283.333,4839433.333,5096000,5038850,4098500,4543530.556,4567886.111,,
