ID,Consumer,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10,Media_11,Media_12,,
11,Residential,632300,585400,696200,797700,908900,906500,1034400,977800,946300,664000,692400,678600,719000,623900,642500,710700,811900,841200,965500,986600,841900,725000,679100,654200,742600,612200,603600,661300,728100,704400,781000,768500,897800,718400,765600,769700,905600,784400,889300,1268000,1112300,1221500,1620100,2416800,2293300,2251500,1651000,1606800,1665300,1721700,2135400,2347500,2021900,2203200,2948500,3287400,2777100,3572400,3104100,2951100,2386400,2096000,2477000,2861200,3535400,4122300,4961300,5413800,5211500,4293400,1175200,1070600,1240666.667,1441066.667,1519750,1666516.667,2051800,2308483.333,2161316.667,2037450,1344566.667,1288500,,
12,Irrigation - Residential,38500,42200,19700,19500,47200,53100,53200,59500,53600,40600,60600,54100,48200,54500,55200,56700,45300,62000,61800,54800,44900,42500,43800,34800,63500,53900,43400,34800,20800,38200,53000,36500,53200,60100,81200,78700,82200,73100,83800,83300,74000,72900,89000,75600,79200,88800,74000,77100,95000,69300,67800,69600,72500,57000,43800,59700,99300,83200,102200,65000,8000,7400,9000,84700,85400,105500,90100,107500,94900,75300,55900,50066.66667,46483.33333,58100,57533.33333,64783.33333,65150,65600,70850,65083.33333,69616.66667,59961.11111,,
13,Multi-Family,194500,145400,128400,134300,171800,236900,266700,490300,368000,182700,199900,210400,263100,131300,133700,135700,189300,216700,370300,454900,553600,236100,114800,151400,155300,124400,127900,211500,237000,238500,308200,311300,262400,176900,153400,160300,206400,93000,172000,157600,86300,129100,216000,394700,267500,192300,278600,449000,130800,174400,114700,113600,109800,140700,280800,509900,279600,302600,220100,180700,162100,117800,124800,123000,186300,152300,293600,196200,248900,0,185366.6667,131050,133583.3333,145950,163416.6667,185700,289266.6667,392883.3333,330000,181766.6667,192027.7778,213808.3333,,
14,Irrigation - Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49300,47800,12100,32600,0,0,0,0,0,0,8216.666667,7966.666667,2016.666667,5433.333333,0,0,0,,
15,Residential,2577800,1599900,1741200,1998800,2270800,2700900,2542900,2932700,2432000,2171900,2089900,1936400,2277400,1746100,1916200,1984300,2124200,2254800,2749400,2337200,2443300,1896400,1670900,1867000,2268700,1555900,1749700,1953000,2143600,2080700,2204400,2546000,2301800,1956900,1969300,1777500,1997800,1562900,1724100,1721500,1614500,1923100,2296400,2669500,2500200,2375300,1944800,2046000,2078400,1866300,1867600,1950600,2068200,2500500,2992600,2553600,2620200,2654400,2337000,2279500,2557400,2210500,2276300,2758900,2745000,2936800,3507300,3055000,3836100,14000,2292916.667,1756933.333,1879183.333,2061183.333,2161050,2399466.667,2715500,2682333.333,2688933.333,1844816.667,2050802.778,1943888.889,,
16,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1000,1600,5000,30400,24900,16200,20500,18900,22300,0,166.6666667,266.6666667,833.3333333,5066.666667,4150,2700,3416.666667,3150,3716.666667,0,27.77777778,61.11111111,,
17,Multi-Family,3805800,2745200,3795600,2790400,4127300,3199200,3668400,3969600,3484000,3606800,3388800,2920100,3814000,3012400,3052000,3360700,3354400,3443900,3668200,3473400,3478300,3376400,3086200,3124000,4057100,2954900,3257600,3496000,3522400,4112700,4241600,4558200,4055600,4039900,4142300,4082800,4708100,3713100,4108100,3864600,3923200,4414400,4414200,4771500,4239900,4165000,3930700,4542700,4709900,4000000,4195500,4247800,4521200,4671400,5001900,4770800,4727600,4800300,4382000,4209700,5930500,4518200,4510300,4801600,4431000,4651900,4704600,4509500,4506800,618200,4504233.333,3490633.333,3819850,3760183.333,3979916.667,4082250,4283150,4342166.667,4082033.333,3434433.333,3905705.556,3728322.222,,
18,Irrigation - Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,900,0,6000,96900,532300,559400,811000,1155100,658900,1522400,1484000,402700,322100,43900,0,17300,0,14300,199800,155200,404900,344200,1778700,1675800,1101600,586300,274200,130700,347400,775400,1145600,641200,1687000,1666300,709300,1082900,1223200,1313200,263500,251400,1328500,883900,1712300,2972100,3091900,3110000,2140000,1238000,90616.66667,82716.66667,368033.3333,372166.6667,644783.3333,820600,973783.3333,1107150,1018666.667,733650,456402.7778,337686.1111,,
19,Residential,7226400,6382900,7010900,7749100,8768400,10537600,10533100,11226900,10002300,8559700,7962000,7526800,8117600,6610100,6915600,7564900,8491300,8427900,9815400,9999700,10100000,8329400,6831600,7123500,7891300,6628300,6579600,7590800,8437100,8247700,9524000,10133100,10000500,8643500,7561400,7398600,9595400,6489900,7100200,7428200,6876400,7753300,10409800,11181600,10280600,8733800,6491000,7670300,7291300,7035600,7922200,7208800,6814900,8694200,10570200,10299500,9003400,7847500,8055500,7087400,7998700,6509900,7990100,7970000,9910600,10802100,12122400,12090600,11097900,463700,8020116.667,6609450,7253100,7585300,8216450,9077133.333,10495816.67,10821900,10080783.33,7096266.667,7486936.111,7236008.333,,
20,Irrigation - Residential,0,0,5900,12900,14200,21800,13100,6900,5300,11300,10600,6800,8600,8300,9100,7900,8800,9000,8300,8500,8400,9400,13200,8400,10100,7900,9000,11400,12200,11000,8600,10900,10000,8400,8600,10000,9600,6200,6600,9400,10600,9200,15500,13300,13600,11700,10200,12300,11500,11300,11000,11400,32500,30800,33000,23100,18900,21000,32200,39000,33600,14600,31600,22500,29200,26300,28400,31000,26300,0,12233.33333,8050,12200,12583.33333,17916.66667,18016.66667,17816.66667,15616.66667,13750,10300,14505.55556,14091.66667,,
21,Multi-Family,12057400,11508200,12171800,12280500,12628400,13594700,13276100,13434900,14042700,13188200,13047500,12082700,11848700,11509900,12506000,12529100,13289700,13304700,12983100,13744000,13754900,13131600,13357200,12076900,12128100,12686900,12695900,13806500,13974700,14595200,14014300,13761100,15159500,13838400,14075400,13500900,14459000,12665000,14745800,13784700,13720700,13772700,14004100,14753100,14759900,15229500,14039500,13211300,13614700,13354200,13649200,14311500,14425800,14824300,14373300,14715300,15475100,14785600,14383400,13926500,13942400,12770800,16591300,15255400,14462100,15253100,13408400,14562500,18879900,6668000,13008383.33,12415833.33,13726666.67,13661283.33,13750233.33,14224116.67,13676550,14161816.67,15345333.33,12806883.33,13651897.22,12869022.22,,
22,Irrigation - Multi-Family,182600,89300,124500,168200,239900,361600,464300,458500,415800,438100,322000,303000,275100,197500,203900,167700,206900,271100,273400,417700,541900,476400,245500,254300,293900,329000,345500,469200,501900,651100,799500,684100,684300,582500,563000,334400,636300,607700,1094700,751600,760900,711400,798300,892000,1509400,1480700,848700,1087500,953900,642100,762600,885400,640300,742800,670600,938100,1234900,970500,2465000,3115100,405500,284000,369400,468500,445300,495200,609400,745500,805200,241300,457883.3333,358266.6667,483433.3333,485100,465866.6667,538866.6667,602583.3333,689316.6667,865250,698250,817013.8889,908761.1111,,
23,Residential,1180900,819600,1014400,1116900,1404000,1620700,1766700,1873300,1687900,1364000,1322400,1079900,1675000,1013900,1217500,1256800,1219600,1186300,1469300,1482200,1673600,1329600,1075300,780100,895300,897500,923400,1081100,1124900,1016300,1108500,1270100,1332900,1040100,954100,765600,784400,643100,778800,805500,804200,767900,1006300,1715300,1481100,1377100,773800,794600,711700,862300,755800,886000,798700,855600,1233800,1258500,1133200,1025400,947100,715700,696400,598300,796700,702600,955800,1021500,1091300,1318100,1051500,89100,990616.6667,805783.3333,914433.3333,974816.6667,1051200,1078050,1279316.667,1486250,1393366.667,1037550,1010552.778,823613.8889,,
24,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13100,21100,16800,20900,16500,16800,16700,16700,37300,38800,43200,35100,41400,39300,31600,17100,22100,17800,17000,17200,22100,34600,39700,40000,36000,36300,32500,40500,32600,32200,21400,73600,96400,100800,42000,33400,0,13083.33333,11866.66667,11133.33333,9183.333333,17916.66667,25966.66667,29033.33333,20816.66667,18083.33333,15083.33333,18297.22222,15461.11111,,
25,Multi-Family,10097500,7785100,8932600,8541600,8849900,9319400,8955700,9118300,9226300,8503800,9202300,8648200,10217600,8907100,8922500,9278400,9459400,9396700,9454600,9865400,9330700,9631700,9760400,9473900,10808000,8791100,9347500,9730800,9777800,10707300,10962600,10874000,11627100,10099300,10106800,10530400,10811500,9287200,9411500,10997900,11070900,11075800,10780500,10872600,10807200,10417400,10495900,10261800,10624100,10352700,9551100,9944000,10567100,11411000,11120200,11161900,11671500,11687500,10867300,11745100,11701400,9772100,11177300,10416100,10118200,11925600,12851400,11974400,12064300,4210900,10710016.67,9149216.667,9557083.333,9818133.333,9973883.333,10639300,10687500,10644433.33,10787850,9091766.667,10190452.78,9968102.778,,
26,Irrigation - Multi-Family,349400,492200,328500,469300,667300,899400,1244300,1407000,1110800,1114100,1075800,820700,742700,537100,757900,556200,805900,859200,999700,1216900,1162000,753100,527200,501600,821900,552500,355500,485100,719900,795300,1039400,1029600,1231000,801700,824700,551700,523000,434100,462200,484500,601600,545200,843500,1559000,1517400,1407400,875800,417300,472800,244400,372800,533100,708600,743300,1119200,1461100,1379000,1142700,895600,468200,530100,390600,502600,645900,953800,1175600,1285800,1460200,1261200,653300,573316.6667,441816.6667,463250,529016.6667,742850,836333.3333,1088650,1355633.333,1276900,978716.6667,795402.7778,533552.7778,,
