user.key,device.key,session.id,Alicante.local.date.time,volume,temperature,energy,flow,duration,history,mobile.os
68777360-346f-4e9b-97cc-d9c6830ccc7c,5c9a26f9-3ba9-48b2-b8e1-48305f3ba13a,408,2/3/2017 9:18,18.2,30,422.84668,6.2,176,FALSE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,5c9a26f9-3ba9-48b2-b8e1-48305f3ba13a,405,4/3/2017 18:07,13.6,25,236.98,5.2,156,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,5c9a26f9-3ba9-48b2-b8e1-48305f3ba13a,404,4/3/2017 18:07,10.5,25,182.9625,5.9,106,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,41,5/3/2017 19:38,11.7,34,297,1.95,360,FALSE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,40,7/3/2017 17:38,3.2,19,33.456,3.6,53,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,39,23/03/2017 18:12:57,5.7,20,66.215,2.7,126,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,38,23/03/2017 18:12:57,15.8,30,367.08667,4.6,206,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,37,5/3/2017 19:38,1.7,17,13.823833,2,51,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,36,5/3/2017 19:38,4.3,18,39.961334,3.8,67,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,35,9/3/2017 17:55,30.9,28,646.119,5.8,319,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,34,9/3/2017 17:54,3.7,21,47.279835,5.6,39,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,33,9/3/2017 17:54,29.9,27,590.47516,5.6,320,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,32,9/3/2017 17:54,4.1,24,66.679665,6,40,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,31,9/3/2017 17:54,12.4,32,316.90268,4.1,181,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,30,9/3/2017 17:54,4.1,25,71.4425,2.8,87,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,29,9/3/2017 17:54,3.9,25,67.9575,2.9,80,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,28,9/3/2017 17:54,4.3,25,74.9275,3.1,83,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,27,13/04/2017 18:14:35,29.4,28,614.754,7.3,241,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,26,29/03/2017 20:22:25,5.7,26,105.944,7,48,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,25,29/03/2017 20:22:25,5,34,139.4,4.7,63,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,24,29/03/2017 20:22:25,10.6,32,270.90067,4.1,155,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,23,29/03/2017 20:22:25,4.6,26,85.498665,3.2,86,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,22,29/03/2017 20:22:25,3.9,26,72.488,3,78,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,21,29/03/2017 20:22:25,4.4,26,81.781334,3.1,85,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,20,29/03/2017 20:22:25,15.3,31,373.2435,4.4,208,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,19,29/03/2017 20:22:25,14.8,29,326.66068,9.9,89,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,18,29/03/2017 20:22:25,4.3,27,84.91783,6,43,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,17,29/03/2017 20:22:25,9,27,177.735,8.3,65,TRUE,android
